Name,vsini,radius_val,radius_percentile_lower,radius_percentile_upper
HD 3726,6,1.1858999,1.111339,1.2337829
HD 3735,5,1.5629874,1.5393943,1.581772
HD 3737,5,2.1945393,2.012785,2.3064969
HD 3770,4,1.808028,1.7542075,1.8414288
HD 3790,30,1.3115348,1.2793348,1.3563044
HD 3835,7,1.4899348,1.4450945,1.5211341
HD 3861,2,1.2947015,1.2730966,1.3044062
HD 3888,30,1.1588585,1.1297646,1.184659
HD 3894,6,1.219474,1.1674467,1.2383531
HD 3914,13,1.4500319,1.4120966,1.4868659
HD 4025,7,1.2789919,1.2344978,1.3195863
HD 4140,35,2.8222134,2.691172,2.9043996
HD 4219,8,1.8077415,1.7788612,1.889878
HD 4295,15,1.5218579,1.4244676,1.5588229
HD 4304,6,2.1667206,2.0982296,2.1919541
HD 4309,13,2.5327225,2.487606,2.5669453
HD 4322,5,1.3475301,1.2863873,1.4155713
HD 4607,6,1.8460157,1.8199259,1.898892
HD 4702,7,1.2102544,1.1974448,1.2456651
HD 4756,16,3.2800598,3.204015,3.339955
HD 4766,14,1.9537774,1.9241349,2.0171378
HD 4785,18,1.1680788,1.1462098,1.2255387
HD 4863,4,1.1258181,1.1039786,1.1530592
HD 4903,7,1.5762105,1.5174229,1.6160196
HD 4982,40,1.919151,1.8330142,1.9735528
HD 5028,35,1.2134149,1.182108,1.2432003
HD 5036,26,2.1270902,2.0544138,2.1904898
HD 5057,7,1.7157545,1.4415884,1.7836386
HD 5080,16,1.8371035,1.756894,1.9381485
HD 5224,45,1.8985865,1.8012948,1.9550017
HD 5308,8,1.9862882,1.9578664,2.0305054
HD 5311,28,1.658192,1.578494,1.7063872
HD 5376,11,1.9914138,1.8828228,2.026534
HD 5379,10,2.4624758,2.3229449,2.5200152
HD 5388,5,1.8684912,1.8304576,1.9037135
HD 5435,5,3.6638734,3.4914155,3.7981153
HD 5442,13,2.7756119,2.7066262,2.825092
HD 5444,4,1.2352611,1.1828432,1.2826338
HD 5453,10,1.5879366,1.5105338,1.635243
HD 5510,7,1.2311051,1.1745124,1.2760028
HD 5591,8,1.9524152,1.8434116,2.0528204
HD 5600,9,2.5012248,2.3566844,2.6674142
HD 5651,4,2.8516073,2.8022377,2.8921108
HD 5703,6,1.3435287,1.3030497,1.4231429
HD 5728,19,1.5351571,1.4253002,1.5731812
HD 5892,6,1.3390307,1.2650596,1.3616185
HD 5915,35,3.1302116,2.9987402,3.270522
HD 5982,25,1.6996676,1.662259,1.8405899
HD 6060,7,2.0840087,2.0063229,2.1721885
HD 6225,13,1.7140784,1.6459719,1.7668431
HD 6338,6,1.8983785,1.7258612,1.9911517
HD 6374,4,1.4263781,1.3983951,1.4725596
HD 6444,20,1.7718803,1.5961151,1.8465825
HD 6544,5,2.2718737,2.0588658,2.481244
HD 6566,35,1.3976768,1.3563453,1.4294735
HD 6583,22,1.479669,1.4343864,1.5261737
HD 6834,9,1.2764888,1.2360721,1.3360239
HD 6847,14,2.0393605,1.9908744,2.1029456
HD 7089,25,1.4015696,1.3002241,1.4878422
HD 7193,9,1.116836,1.0991595,1.1477698
HD 7228,7,1.7166619,1.6971712,1.7425438
HD 7238,60,2.8131208,2.700487,2.9067922
HD 7257,10,1.3151011,1.2776424,1.3493026
HD 7284,9,1.2192225,1.1908026,1.2486722
HD 7334,6,2.5152113,2.475096,2.5473273
HD 7442,5,1.9411035,1.8986934,1.9740559
HD 7449,3,1.0302951,1.0200369,1.0399288
HD 7458,13,1.3861411,1.3315643,1.4859909
HD 7463,6,1.726534,1.6826823,1.8089496
HD 7616,7,1.7081552,1.5639683,1.8239822
HD 7747,9,1.3356473,1.2964917,1.3779142
HD 7775,4,1.1159528,1.088511,1.15093
HD 8070,25,1.5064353,1.4650133,1.5477611
HD 8083,7,2.3786428,2.2882216,2.4894683
HD 8117,5,1.1106713,1.0896163,1.1404476
HD 8178,27,3.135682,3.0362844,3.2653975
HD 8241,9,1.622568,1.5867983,1.6639754
HD 8248,7,2.7502575,2.6643205,2.826951
HD 8316,6,2.2573183,2.2315195,2.289742
HD 8483,3,1.4346915,1.416638,1.4526162
HD 8523,9,1.2003306,1.1880591,1.2319223
HD 8574,3,1.4036663,1.386662,1.409715
HD 8581,5,1.689439,1.6419477,1.7285852
HD 8673,30,1.4866652,1.4508133,1.5114679
HD 8710,80,1.8688517,1.803813,1.8988506
HD 8745,4,1.3037105,1.2832476,1.3370537
HD 8774,19,1.696558,1.6573385,1.81142
HD 8786,10,2.0515401,1.9672202,2.1064363
HD 8907,14,1.1925503,1.1800936,1.2115437
HD 8941,13,1.9004304,1.8825679,1.9187536
HD 8985,6,1.230365,1.2089772,1.2727988
HD 8995,13,1.2921079,1.2554543,1.3607273
HD 9061,9,2.6261373,2.5145185,2.771334
HD 9091,3,1.2543492,1.2069453,1.3100059
HD 9305,10,3.0452683,2.9774292,3.121172
HD 9386,5,2.7892525,2.724089,2.8430822
HD 9389,12,1.7408757,1.6444434,1.8420632
HD 9403,3,1.7134676,1.6299096,1.7747076
HD 9449,19,1.1366203,1.1171446,1.1555295
HD 9468,9,1.2963244,1.2745682,1.3439163
HD 9670,3,1.2420632,1.2244767,1.2872971
HD 9769,8,1.8614559,1.7621328,1.9154291
HD 9782,3,1.1883068,1.1732415,1.2220064
HD 9895,23,1.3653064,1.3354837,1.4074866
HD 9934,2,1.0986978,1.078678,1.1324192
HD 10007,9,2.84385,2.7395122,2.9381561
HD 10037,5,1.4285004,1.3457369,1.4792006
HD 10039,4,1.6515843,1.6140376,1.7036715
HD 10183,6,1.8861204,1.787026,1.9409958
HD 10195,8,1.1522205,1.1308435,1.1728511
HD 10211,5,1.9332229,1.913303,1.993057
HD 10556,3,1.4771285,1.4597243,1.4981724
HD 10711,14,3.5709507,3.5028167,3.6202846
HD 10766,4,2.4074605,2.2867303,2.5667276
HD 10844,1,1.1599293,1.1453878,1.1930765
HD 10874,25,2.112061,2.0136633,2.2244074
HD 11042,11,2.2215638,2.1836743,2.2744136
HD 11107,40,2.6385083,2.456499,2.7319112
HD 11114,17,1.9393134,1.8989052,1.9862658
HD 11119,90,2.7455251,2.6221359,2.8597856
HD 11152,5,1.5778569,1.4704477,1.6587539
HD 11166,6,2.101365,2.0541525,2.1654656
HD 11274,15,1.2724949,1.1619519,1.3482734
HD 11348,15,1.7916838,1.767161,1.8308574
HD 11379,10,1.9403987,1.8621889,2.0026267
HD 11459,8,2.3155332,2.2672596,2.3440976
HD 11474,6,1.7544024,1.7179203,1.8343571
HD 11592,7,1.3780323,1.322514,1.4122554
HD 11699,13,1.6057023,1.5472642,1.673016
HD 11907,11,1.4542887,1.4291557,1.4721149
HD 11963,7,1.2358419,1.2000293,1.2745112
HD 12214,4,2.1613147,2.0724168,2.25263
HD 12273,9,2.7293,2.706101,2.7478967
HD 12277,40,2.649858,2.5459323,2.7577677
HD 12371,17,1.3786793,1.2766514,1.4502301
HD 12413,12,1.3902656,1.3651313,1.424438
HD 12414,6,1.3812395,1.3580012,1.4330224
HD 12436,3,1.8903996,1.8368597,1.9458853
HD 12460,17,2.4555883,2.3515382,2.5604794
HD 12482,5,1.1831864,1.1678556,1.2038906
HD 12600,6,1.5881988,1.3584405,1.6655332
HD 12640,7,2.215849,2.0938587,2.3196979
HD 12680,7,2.3928492,2.344012,2.4811919
HD 12681,13,1.9468112,1.9017508,2.0136335
HD 12741,2,2.1688812,2.1387079,2.213767
HD 12951,6,1.6340855,1.6071004,1.6459365
HD 12979,17,2.022663,1.9173332,2.131447
HD 13026,10,2.659395,2.5329454,2.786731
HD 13076,45,2.804239,2.6793957,2.8931782
HD 13131,13,1.4205244,1.355659,1.4527696
HD 13133,5,1.4311734,1.3819368,1.5009029
HD 13201,11,1.4134916,1.3505989,1.472664
HD 13239,13,1.7910032,1.724108,1.8383082
HD 13289,17,3.1415465,2.8156404,3.310143
HD 13364,50,1.3908707,1.3220828,1.4287677
HD 13540,5,1.54592,1.5021933,1.5873346
HD 13609,40,3.0323956,2.9056013,3.1292768
HD 13722,50,2.1490588,2.076599,2.2710543
HD 13829,3,1.1092681,1.0929675,1.113124
HD 13847,13,2.110006,2.0127385,2.1571264
HD 13908,4,2.0155005,1.9650536,2.0521302
HD 13914,12,2.091156,2.0273046,2.1365862
HD 14119,8,1.2516274,1.2285079,1.276287
HD 14196,30,2.5212946,2.4078414,2.5936456
HD 14285,90,2.5392215,2.411579,2.6682758
HD 14294,9,1.2832978,1.1843784,1.401901
HD 14338,10,1.7427623,1.6868938,1.7869298
HD 14348,5,1.8222938,1.7579814,1.8784915
HD 14379,8,1.2161918,1.185322,1.2783589
HD 14414,22,4.555514,4.3530574,4.7293167
HD 14448,3,2.5971122,2.5424383,2.650221
HD 14516,11,1.2364963,1.2222884,1.2498935
HD 14552,30,1.3837957,1.3396285,1.4581904
HD 14642,8,1.5127649,1.475585,1.5719258
HD 14701,7,1.415672,1.3939321,1.471789
HD 14705,4,1.1757395,1.1202779,1.2124352
HD 14727,40,2.9712648,2.9168077,3.0073383
HD 14836,11,2.3788738,2.135654,2.5571578
HD 14907,28,1.2023293,1.1656626,1.2575307
HD 15029,7,1.6004217,1.5775243,1.6639769
HD 15047,8,1.8308535,1.7378029,1.8888774
HD 15048,14,2.3236043,2.1932511,2.427772
HD 15060,6,2.3447645,2.2986827,2.4037027
HD 15209,15,2.3477187,2.295985,2.3969831
HD 15272,10,5.002999,4.8366184,5.142535
HD 15381,28,1.8207482,1.5145329,2.129077
HD 15382,55,1.3903247,1.296513,1.4518403
HD 15394,21,1.1672689,1.1460804,1.1978354
HD 15456,7,1.7849908,1.7651137,1.8302817
HD 15481,20,1.3656145,1.2903345,1.4072222
HD 15494,10,2.2395148,2.1292243,2.3429863
HD 15563,4,1.2893133,1.25878,1.3358299
HD 15579,80,2.955971,2.8665936,3.0536606
HD 15773,21,1.5239403,1.4632955,1.5734451
HD 15784,17,6.462735,6.2426567,6.669465
HD 16067,5,2.133082,2.059838,2.1953917
HD 16086,3,1.0969676,1.0624913,1.1455
HD 16095,4,1.1112942,1.0697404,1.1633933
HD 16118,10,1.9530408,1.9066391,1.9889786
HD 16241,16,1.5654798,1.4711362,1.6090921
HD 16377,4,1.165937,1.1039718,1.212605
HD 16427,8,2.0825868,2.0420563,2.1637483
HD 16556,19,2.4405415,2.3595283,2.5070245
HD 16610,12,2.6414132,2.5554051,2.760513
HD 16626,17,1.4614156,1.4328502,1.5143592
HD 16707,6,1.2580532,1.1993704,1.3101329
HD 16785,12,1.4418908,1.4010416,1.5139701
HD 16878,7,1.8889145,1.855623,1.9489384
HD 16933,11,1.6751938,1.625041,1.7274878
HD 16941,20,1.972165,1.8736185,2.060313
HD 16963,12,2.1191652,2.0814326,2.17238
HD 17030,22,1.737293,1.6738365,1.8005632
HD 17055,14,3.1741946,3.0573452,3.2900763
HD 17070,30,1.6406922,1.5940866,1.7106332
HD 17147,14,1.5236479,1.4506879,1.6052966
HD 17207,4,1.1307663,1.1121562,1.1475842
HD 17290,4,1.2952471,1.262868,1.3472484
HD 17331,13,1.6907942,1.6667026,1.7421539
HD 17399,15,1.7806984,1.6716641,1.848006
HD 17530,40,1.4198387,1.3890111,1.4723219
HD 17548,4,1.0747105,1.0409393,1.0854785
HD 17631,17,2.7088456,2.5742025,2.850517
HD 17639,24,1.6064696,1.5711715,1.6399254
HD 17702,10,1.5730342,1.5299201,1.6118994
HD 17865,3,1.3395915,1.3015782,1.3810676
HD 17884,8,1.8145802,1.711924,1.8818792
HD 17926,9,1.2971663,1.2675941,1.3402098
HD 18031,14,1.5343754,1.4426765,1.6100091
HD 18139,26,2.6282952,2.468135,2.940119
HD 18180,50,2.0021455,1.9291468,2.0661902
HD 18229,4,1.5060395,1.4692072,1.5865167
HD 18456,16,2.057452,1.9982706,2.1125548
HD 18568,30,1.4566153,1.3537624,1.6814301
HD 18617,35,2.938341,2.83598,3.0975125
HD 18618,7,1.542393,1.5066954,1.5770721
HD 18743,5,2.089962,2.0339262,2.1270626
HD 18754,1,2.1519675,2.0738983,2.2094495
HD 18766,27,2.51186,2.4104018,2.6028616
HD 18768,3,1.9178176,1.8960971,1.929114
HD 18819,6,2.5468948,2.4947846,2.5967274
HD 18831,45,1.2863597,1.2539295,1.3211919
HD 19029,9,1.4530716,1.382732,1.5327363
HD 19184,21,2.5182874,2.3305967,2.6655731
HD 19254,6,1.2154409,1.1607504,1.2662407
HD 19350,7,2.306334,2.2331157,2.3413625
HD 19376,45,2.8006754,2.652763,2.9194403
HD 19381,6,1.2025831,1.1743295,1.2269183
HD 19603,4,1.4565197,1.4015363,1.4968685
HD 19649,45,2.1017456,1.6496496,2.126216
HD 19715,19,1.7422632,1.6455381,1.8417408
HD 19773,5,1.3028084,1.266766,1.3449472
HD 19864,12,1.5312488,1.4379127,1.5612426
HD 19879,17,2.638404,2.3915842,2.7388377
HD 19889,9,1.6151344,1.5875424,1.6288213
HD 19916,9,1.9765704,1.9325606,2.0263333
HD 20029,6,1.3470829,1.3197888,1.3660889
HD 20052,4,1.4464194,1.4059091,1.4865358
HD 20111,15,1.4659886,1.4227774,1.5296535
HD 20112,8,1.0777998,1.0438871,1.1038402
HD 20201,5,1.136662,1.111722,1.1429327
HD 20205,14,1.8328319,1.754576,1.8906053
HD 20209,6,1.3556162,1.3256433,1.3697546
HD 20259,4,1.5059149,1.4821274,1.5481894
HD 20327,24,1.7152596,1.6416011,1.7746136
HD 20335,6,1.5057945,1.4745772,1.5476743
HD 20367,3,1.1240351,1.1108843,1.1464778
HD 20390,10,2.3638287,2.2740238,2.4706366
HD 20542,9,1.4138184,1.3848053,1.4664667
HD 20584,10,2.401281,2.3491316,2.4498777
HD 20703,8,2.3554254,2.2773497,2.4100156
HD 20713,10,3.222316,3.1643004,3.433486
HD 20737,20,3.2442572,3.12937,3.3217056
HD 20811,55,2.651104,2.5765724,2.6984208
HD 20889,16,2.613118,2.5346212,2.6983595
HD 20904,3,2.8354778,2.7308044,2.896828
HD 20958,22,2.8519168,2.8013039,2.8879523
HD 21106,7,1.8906347,1.854617,1.9217936
HD 21132,5,1.0675924,1.050316,1.1076269
HD 21216,40,1.1568539,0.84293854,1.2239156
HD 21272,8,1.768437,1.7164056,1.8462278
HD 21589,70,2.113078,2.0252934,2.1873622
HD 21618,6,1.5760198,1.4505293,1.6442765
HD 21626,11,2.267774,2.202619,2.326717
HD 21651,110,2.5472865,2.5030048,2.599169
HD 21654,24,1.7479106,1.6914666,1.8985561
HD 21667,24,1.1826309,1.0880077,1.2252096
HD 21804,10,1.664193,1.6150723,1.7222986
HD 21899,15,1.5621051,1.528984,1.5829992
HD 21922,5,1.1363693,1.1101681,1.1772406
HD 21962,14,1.4098403,1.366593,1.4609627
HD 22044,18,1.4144665,1.3297644,1.5000917
HD 22173,14,1.5097392,1.4282683,1.5911111
HD 22257,4,1.5917381,1.5578202,1.6429884
HD 22292,23,1.5963763,1.5251904,1.6173865
HD 22328,23,2.5706735,2.4629507,2.7292566
HD 22439,6,0.9988208,0.8464204,1.1443144
HD 22451,10,2.9380584,2.7409494,3.1395411
HD 22474,10,2.1435816,2.0382867,2.311297
HD 22514,13,2.0902667,2.0275846,2.1821854
HD 22527,10,1.297831,1.2699655,1.3256558
HD 22596,11,1.5173012,1.4778602,1.5749345
HD 22729,14,2.277525,2.142226,2.4093895
HD 22732,11,2.0845408,1.9889292,2.166403
HD 22842,8,1.4030887,1.3663726,1.4432799
HD 22865,6,1.6855974,1.6453398,1.7160287
HD 22872,4,1.6445061,1.5884303,1.6895
HD 22952,13,1.1434691,1.0969238,1.2200414
HD 23041,24,3.150888,3.0837438,3.2370343
HD 23079,4,1.0911082,1.075514,1.095727
HD 23148,14,1.3717593,1.3009291,1.4083953
HD 23438,6,1.18074,1.1090631,1.2478731
HD 23456,3,1.1314261,1.0984623,1.155679
HD 23596,4,1.593419,1.5721061,1.630285
HD 23609,9,2.0214918,1.948465,2.0812657
HD 23623,13,1.6767199,1.6302078,1.7163407
HD 23820,15,1.5051662,1.3233662,1.5734609
HD 23965,9,1.1756216,1.1326853,1.2059792
HD 24112,5,1.4967841,1.4779005,1.5106896
HD 24115,6,1.3383614,1.266059,1.3910458
HD 24159,6,2.2440763,2.1864583,2.3752768
HD 24163,35,2.01994,1.9320033,2.0760553
HD 24326,5,1.7913146,1.5867757,1.8472084
HD 24374,11,2.4610343,2.3655975,2.5561492
HD 24390,5,1.4383386,1.4018854,1.4856797
HD 24421,5,1.4079028,1.3848528,1.4299606
HD 24426,24,1.3784989,1.3421849,1.4062887
HD 24443,12,1.8721104,1.7863917,1.9595906
HD 24649,30,1.143422,1.1172917,1.1632377
HD 24650,11,1.6708664,1.6461191,1.6826248
HD 24664,7,1.2505114,1.1239924,1.2725884
HD 24672,20,1.4495747,1.4013977,1.4965945
HD 24674,6,1.368586,1.3280641,1.3917341
HD 24755,9,1.2559205,1.2203916,1.3851813
HD 24779,70,1.9032146,1.7618723,2.0717921
HD 24976,8,1.5975071,1.5672328,1.6424536
HD 25054,21,2.0490284,2.0336368,2.087551
HD 25153,9,1.5466532,1.4344654,1.6782501
HD 25166,6,2.1860135,2.0017488,2.3505316
HD 25169,5,1.3489739,1.3147248,1.3784313
HD 25171,4,1.2563391,1.2391565,1.2885221
HD 25173,5,1.6108159,1.5781124,1.6669468
HD 25277,40,2.6229725,2.5544116,2.7002676
HD 25292,6,2.137459,2.0309608,2.1992867
HD 25311,8,1.9202362,1.7841185,2.0259678
HD 25333,15,1.2533891,1.2150754,1.2942759
HD 25401,7,1.8584579,1.769503,1.9159842
HD 25463,10,1.3775135,1.3568716,1.4561911
HD 25473,6,2.2084575,2.1913376,2.24257
HD 25522,18,2.7743325,2.6376932,2.883531
HD 25587,8,1.5945944,1.5717466,1.6321915
HD 25697,90,2.9930682,2.862312,3.171931
HD 25782,8,2.1995935,2.112276,2.342682
HD 25953,30,1.1960835,1.1586959,1.252607
HD 25983,14,2.1576946,2.1209333,2.173265
HD 26054,12,4.711485,4.674888,4.810459
HD 26244,5,1.135724,1.0966157,1.1861674
HD 26246,10,3.0149162,2.7419693,3.072468
HD 26279,55,2.2583306,2.1399508,2.3312476
HD 26292,6,2.312914,2.2013893,2.422842
HD 26417,13,2.776196,2.6595511,2.8809743
HD 26519,9,1.4095696,1.3324584,1.4670782
HD 26665,14,2.796067,2.7295058,2.8235884
HD 26720,11,2.3516848,2.1660671,2.4557538
HD 26784,17,1.3049955,1.2979043,1.3284304
HD 26822,8,1.1590321,1.1276706,1.2186074
HD 27110,18,2.0726218,2.0084865,2.172301
HD 27127,13,2.4133754,2.3253071,2.4801784
HD 27157,27,2.7939048,2.724151,2.866041
HD 27170,6,1.2129905,1.1899058,1.2405018
HD 27212,27,1.7434766,1.6588206,1.938734
HD 27231,29,1.773317,1.7010022,1.9224501
HD 27291,35,1.3835064,1.3087803,1.4417716
HD 27305,7,1.2558271,1.0251683,1.2981492
HD 27353,12,1.3192346,1.20163,1.4086658
HD 27415,35,3.03067,2.9753833,3.0865123
HD 27500,15,1.4213339,1.3651537,1.4642198
HD 27523,40,1.8163737,1.6610814,1.8703576
HD 27553,18,1.524721,1.4752806,1.5924224
HD 27561,21,1.5633336,1.4755749,1.5931761
HD 27808,12,1.2727097,1.2379018,1.3376234
HD 27887,11,1.2746301,1.2197465,1.3244284
HD 27911,35,1.5378529,1.4486437,1.5946032
HD 27927,19,2.6078303,2.4602294,2.7144651
HD 28073,9,2.212598,2.1627388,2.2863698
HD 28097,5,2.12919,2.081884,2.1691375
HD 28122,35,1.9461945,1.8432764,2.1096797
HD 28160,7,1.3499699,1.325602,1.411072
HD 28181,19,1.64655,1.6016277,1.7278936
HD 28218,22,1.5431414,1.4480617,1.6231333
HD 28237,9,1.1779414,1.1680635,1.1994755
HD 28246,8,1.3862916,1.2273985,1.434546
HD 28264,7,2.2663321,2.2257204,2.314501
HD 28395,9,1.4906267,1.4434764,1.5474495
HD 28428,10,2.5113394,2.4246755,2.6060605
HD 28453,7,2.1760116,2.1322014,2.2125623
HD 28474,4,0.984013,0.95007896,1.0038898
HD 28483,26,1.4966825,1.4099883,1.5476303
HD 28579,8,1.7137042,1.6762564,1.7309096
HD 28608,35,1.3414752,1.3132815,1.3777674
HD 28610,15,2.0455487,1.860613,2.148997
HD 28620,7,1.5537127,1.4606276,1.6151943
HD 28676,3,1.3364731,1.3210367,1.3508177
HD 28772,12,1.4663365,1.40316,1.513162
HD 28807,6,1.5767981,1.5278932,1.6509695
HD 28826,13,2.1584764,2.1141975,2.2286701
HD 28877,12,2.2794387,2.2446768,2.3167589
HD 28880,10,1.2679715,1.2016613,1.3930879
HD 28981,7,1.2046286,1.1594019,1.2631211
HD 29146,15,1.7867095,1.6839731,1.8548249
HD 29178,5,1.0740186,0.9862066,1.0988725
HD 29214,11,1.473904,1.447673,1.5084991
HD 29239,19,1.8340824,1.7975051,1.8866609
HD 29255,11,1.3284702,1.2975078,1.369498
HD 29284,5,1.706791,1.5281043,1.7499074
HD 29302,15,1.3095626,1.2484227,1.3467593
HD 29307,22,1.7771121,1.707731,1.8534522
HD 29420,50,2.484028,2.1892948,2.5570834
HD 29427,25,1.5225202,1.4327703,1.5898297
HD 29445,3,1.528289,1.5024116,1.5610664
HD 29486,7,1.6995733,1.6520427,1.7360747
HD 29497,7,1.5638362,1.3578761,1.6551225
HD 29502,9,1.7515057,1.664637,1.8168125
HD 29521,11,1.7510636,1.7183354,1.787366
HD 29532,10,2.0249116,1.9907454,2.0633533
HD 29537,110,2.0927608,2.0462139,2.2606483
HD 29581,15,1.2868018,1.2357372,1.3592696
HD 29745,30,2.6322951,2.5943513,2.7175124
HD 29786,50,2.0880795,2.0143178,2.2139409
HD 29881,40,3.7013662,3.6057277,3.7652385
HD 30053,4,1.2038004,1.160242,1.2934027
HD 30149,24,2.645952,2.5213962,2.838615
HD 30157,6,1.1145464,1.0986875,1.1324556
HD 30316,11,1.4226378,1.3700083,1.4756237
HD 30369,7,1.7364872,1.6605896,1.7916931
HD 30388,10,1.4161114,1.3846544,1.5055187
HD 30418,45,1.7578286,1.675597,1.8492463
HD 30467,5,2.2685487,2.2299616,2.325063
HD 30483,2,1.7264602,1.6491688,1.8273641
HD 30589,5,1.1616855,1.1536375,1.1827053
HD 30692,6,1.1894996,1.1399546,1.2666353
HD 30736,15,2.5511606,2.523083,2.5988438
HD 30743,7,1.5236719,1.4872195,1.5532144
HD 30757,4,2.310449,2.2287395,2.3593898
HD 30809,11,1.300485,1.2748578,1.3517679
HD 30944,7,2.6720312,2.5941195,2.7261183
HD 31081,6,2.0578365,2.002438,2.1273685
HD 31128,5,0.85303605,0.7918424,0.8668325
HD 31138,11,1.139141,0.96707386,1.2231869
HD 31153,6,1.9652689,1.8923709,2.0142188
HD 31193,6,1.6192763,1.5477158,1.6732426
HD 31253,3,1.8383136,1.7990823,1.8775815
HD 31307,13,1.7112417,1.6177472,1.7903955
HD 31354,2,1.3744369,1.3199403,1.4360331
HD 31409,11,1.6004715,1.5559689,1.6245182
HD 31423,14,2.1281955,2.0798326,2.2467172
HD 31574,35,3.1807718,3.1092772,3.319711
HD 31577,5,1.8608792,1.8318218,1.8907686
HD 31608,2,3.2819722,3.1341982,3.4060059
HD 31781,5,1.2096244,1.1585996,1.2579925
HD 31930,24,3.3937714,3.2710145,3.601627
HD 31975,6,1.4293159,1.4059191,1.4611527
HD 32152,8,2.0036807,1.94249,2.0830712
HD 32154,8,1.2416788,1.1209753,1.3680176
HD 32169,50,2.4544413,2.3742564,2.5092492
HD 32205,7,1.9694945,1.9272436,2.0204017
HD 32210,5,1.1410376,1.1154574,1.1680112
