Name,vsini,radius_val,radius_percentile_lower,radius_percentile_upper
HD 101,2,1.0533948,1.0364709,1.0632266
HD 189,9,2.2902474,2.1922684,2.3258092
HD 200,5,1.8639193,1.831954,1.9191171
HD 268,9,1.3924876,1.3712866,1.4375677
HD 285,13,2.92949,2.8132818,3.0022094
HD 291,6,1.8780165,1.833352,1.9701715
HD 307,4,1.9573168,1.8913612,2.0102096
HD 334,10,1.6978672,1.6687611,1.7588457
HD 373,35,1.2836996,1.1058152,1.4616284
HD 427,27,3.416142,3.3136404,3.5924811
HD 439,55,3.0242062,2.9004743,3.109166
HD 447,50,3.2912645,3.134439,3.4060884
HD 466,60,2.5403028,2.3512266,2.6228316
HD 578,14,1.7213372,1.6853521,1.7902596
HD 604,10,2.2120807,2.122401,2.3340607
HD 610,14,1.8137324,1.7701571,1.8575346
HD 615,16,1.3531098,1.3285027,1.3956828
HD 633,6,1.3283342,1.2993563,1.3767253
HD 732,14,4.0103374,3.8587024,4.3605795
HD 852,90,2.500523,2.32361,2.5624003
HD 903,27,1.5489255,1.5118809,1.6105953
HD 949,70,1.9662644,1.8970232,2.1129682
HD 975,9,1.4490796,1.3531516,1.5258068
HD 1000,9,1.8187056,1.7776316,1.9395285
HD 1004,15,1.6224846,1.5402344,1.7096822
HD 1047,3,2.1454122,2.0115576,2.2041812
HD 1101,27,2.7304025,2.6876428,2.8069603
HD 1184,6,1.362247,1.3192632,1.3906779
HD 1343,8,1.6449348,1.5166901,1.7040074
HD 1418,24,2.491821,2.3553522,2.5897346
HD 1455,14,3.2197676,3.14504,3.2554946
HD 1497,2,1.6494923,1.6309887,1.6897995
HD 1513,26,1.615257,1.5720242,1.6990408
HD 1557,7,2.5565243,2.3443205,2.6880565
HD 1603,6,2.0224617,1.9509449,2.1205432
HD 1683,14,3.2510366,3.1450944,3.461181
HD 1686,15,1.1012837,1.0779262,1.1283923
HD 1689,7,2.2481847,2.166094,2.287385
HD 1764,10,1.4735575,1.368376,1.562239
HD 1778,19,3.86309,3.7057636,4.006349
HD 1828,16,1.3268003,1.2499913,1.3909447
HD 1832,1,1.1582879,1.1231503,1.1822643
HD 1856,90,1.8673859,1.7786578,1.9429773
HD 1898,23,2.370323,2.2480333,2.4389446
HD 1980,6,1.5187167,1.4691799,1.5744594
HD 2021,40,2.7890449,2.4616473,3.0211008
HD 2121,27,2.175856,2.129341,2.196907
HD 2302,7,2.427066,2.3768222,2.475971
HD 2305,18,1.652005,1.5244688,1.7366196
HD 2330,3,1.5597314,1.5213239,1.6109914
HD 2361,10,2.105441,2.0401754,2.1958091
HD 2564,12,2.4180365,2.352355,2.4603362
HD 2611,8,1.9730285,1.937307,2.0235667
HD 2615,7,1.8352689,1.7676398,1.9044068
HD 2663,4,1.1125267,1.0897392,1.1258968
HD 2694,7,1.3505687,1.2781508,1.430479
HD 2719,13,2.4649029,2.2285616,2.6272812
HD 2730,7,1.7220689,1.6495436,1.8064978
HD 2783,80,2.6925468,2.5780215,2.786574
HD 2827,9,2.8430161,2.79156,2.9042315
HD 2916,55,1.7043408,1.5908538,1.8306551
HD 3079,3,1.3202473,1.3008741,1.3294365
HD 3089,8,2.242043,2.1184053,2.307668
HD 3092,10,1.6151271,1.555781,1.7264967
HD 3149,3,1.3331124,1.3040398,1.3743877
HD 3161,6,1.274032,1.2487639,1.2962451
HD 3255,11,2.4940958,2.4007933,2.5457861
HD 3268,5,1.7491293,1.7127086,1.8162388
HD 3294,7,1.2966695,1.2734779,1.3193043
HD 3296,14,1.5106932,1.4680077,1.5523505
HD 3338,70,1.956339,1.8855988,2.116083
HD 3398,35,1.7396138,1.6900986,1.8238047
HD 3506,30,2.6033225,2.475374,2.6618123
HD 3532,6,1.8541766,1.8225715,1.9247249
HD 3560,8,2.0729947,1.988706,2.1486554
HD 3598,6,2.147594,2.0595446,2.2273118
HD 3621,6,2.5056267,2.397232,2.5963717
HD 3674,10,1.3067698,1.2725912,1.3310456
HD 3685,11,1.5585532,1.5150892,1.5903574
HD 3689,8,1.5045046,1.4466764,1.5253358
HD 3708,8,2.1850224,2.1148255,2.2505934
