 #  ;typed ident;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ; Mag I  ;   spec. type    ;#bib;#not
----;-----------;-----------------------------------;---;---------------------------------------;---------;---------;---------;---------;--------;-----------------;----;----
37  ;HD 903     ;HD 903                             ;PM*;00 13 10.0390376304 -43 03 54.621910260;     ~   ;8.00     ;7.56     ;     ~   ;     ~  ;F5IV             ;  27;   0
38  ;HD 912     ;HD 912                             ;PM*;00 13 46.5322655952 +64 51 53.515470888;     ~   ;8.61     ;8.09     ;     ~   ;     ~  ;G0               ;  38;   0
39  ;HD 924     ;HD 924                             ;PM*;00 13 30.9214459440 -40 21 29.753519328;     ~   ;9.93     ;9.02     ;     ~   ;     ~  ;K2+Vk:           ;  29;   0
40  ;HD 949     ;HD 949                             ;PM*;00 14 02.8861749000 +44 30 43.551405144;     ~   ;8.77     ;8.37     ;     ~   ;     ~  ;F4V              ;  28;   0
41  ;HD 967     ;HD 967                             ;PM*;00 14 04.4784097816 -11 18 41.705104914;     ~   ;8.99     ;8.38     ;     ~   ;     ~  ;G6wF7            ;  89;   0
42  ;HD 975     ;HD 975                             ;*  ;00 14 13.0756704912 +35 25 05.047812156;     ~   ;8.53     ;8.08     ;     ~   ;     ~  ;F5V              ;  29;   0
43  ;HD 984     ;HD 984                             ;** ;00 14 10.2528328224 -07 11 56.812684848;     ~   ;7.82     ;7.32     ;     ~   ;     ~  ;F7V              ;  98;   0
44  ;HD 1000    ;HD 1000                            ;PM*;00 14 20.7993015264 -21 11 49.066585440;     ~   ;7.38     ;6.91     ;     ~   ;     ~  ;F7V              ;  35;   0
45  ;HD 1004    ;HD 1004                            ;*  ;00 14 14.7077379576 -55 04 10.779050028;     ~   ;9.045    ;8.788    ;     ~   ;     ~  ;F5IV/V           ;  35;   0
46  ;HD 1015    ;HD 1015                            ;SB*;00 14 28.0215766680 -14 25 54.432045732;     ~   ;7.43     ;6.94     ;     ~   ;     ~  ;F5V              ;  32;   0
47  ;HD 1019    ;HD 1019                            ;PM*;00 14 22.2565706496 -28 56 04.798467384;     ~   ;10.27    ;9.40     ;     ~   ;     ~  ;K0/1V(CNIII)     ;  21;   0
48  ;HD 1047    ;HD 1047                            ;*  ;00 14 49.9844809368 +23 47 36.364811028;     ~   ;9.15     ;8.64     ;     ~   ;     ~  ;F8               ;  21;   0
49  ;HD 1101    ;HD 1101                            ;*  ;00 15 16.3979794344 -16 45 22.504153212;     ~   ;8.08     ;7.67     ;     ~   ;     ~  ;F3IV             ;  26;   0
50  ;HD 1108    ;HD 1108                            ;PM*;00 15 04.6344628896 -68 31 48.358841916;     ~   ;9.28     ;8.58     ;     ~   ;     ~  ;G6V              ;  36;   0
51  ;HD 1184    ;HD 1184                            ;PM*;00 15 47.0172136824 -66 55 26.619545172;     ~   ;9.08     ;8.52     ;     ~   ;     ~  ;F7V              ;  26;   0
52  ;HD 1204    ;HD 1204                            ;PM*;00 16 22.2440099496 -19 23 58.593273720;     ~   ;9.39     ;8.77     ;     ~   ;     ~  ;G3V              ;  26;   0
53  ;HD 1271    ;HD 1271                            ;SB*;00 16 47.2615709208 -46 34 26.828228604;     ~   ;8.46     ;8.01     ;     ~   ;     ~  ;F5V              ;  26;   0
54  ;HD 1320    ;HD 1320                            ;PM*;00 17 16.5269419376 -43 51 09.835811318;     ~   ;8.63     ;7.98     ;     ~   ;     ~  ;G2V              ;  89;   0
55  ;HD 1343    ;HD 1343                            ;*  ;00 17 32.7030499488 -19 03 03.937463784;     ~   ;6.828    ;6.446    ;     ~   ;     ~  ;F3V              ;  49;   0
56  ;HD 1352    ;* 39 Psc                           ;PM*;00 17 49.9818930936 +16 19 51.650777064;     ~   ;7.68     ;     ~   ;6.9      ;     ~  ;F6V              ;  53;   0
57  ;HD 1391    ;HD 1391                            ;Er*;00 17 34.5124581144 -69 52 42.347409780;     ~   ;8.82     ;8.26     ;     ~   ;     ~  ;G0IV             ;  28;   0
58  ;HD 1418    ;HD 1418                            ;PM*;00 18 24.9834971880 +22 52 48.260958996;     ~   ;8.44     ;7.94     ;     ~   ;     ~  ;F5               ;  21;   0
59  ;HD 1455    ;HD 1455                            ;*  ;00 17 49.2329343912 -79 13 56.603010360;     ~   ;9.589    ;8.988    ;     ~   ;     ~  ;F8V              ;  30;   0
60  ;HD 1497    ;HD 1497                            ;PM*;00 19 12.7899624768 +13 34 37.208711568;     ~   ;8.85     ;8.18     ;     ~   ;     ~  ;F8               ;  39;   0
61  ;HD 1513    ;HD 1513                            ;*  ;00 19 16.6338284640 +00 31 14.068031844;     ~   ;8.29     ;7.90     ;     ~   ;     ~  ;F0/2V            ;  25;   0
62  ;HD 1557    ;HD 1557                            ;PM*;00 19 41.6429006352 -30 39 30.784771692;     ~   ;9.587    ;9.353    ;     ~   ;     ~  ;F3/5IV/V         ;  28;   0
63  ;HD 1591    ;HD 1591                            ;PM*;00 19 48.9421519776 -60 54 43.823657052;     ~   ;8.49     ;7.94     ;     ~   ;     ~  ;G0IV/V           ;  24;   0
64  ;HD 1603    ;HD 1603                            ;*  ;00 20 28.4121276888 +40 55 19.690063788;     ~   ;8.64     ;8.14     ;     ~   ;     ~  ;F8               ;  25;   0
65  ;HD 1622    ;HD 1622                            ;*  ;00 20 11.0967435528 -55 59 38.387530644;     ~   ;10.594   ;9.86     ;9.41     ;     ~  ;K1V              ;  31;   0
66  ;HD 1674    ;HD 1674                            ;PM*;00 20 53.9777444112 -29 41 23.390411208;     ~   ;8.89     ;8.36     ;     ~   ;     ~  ;F7V              ;  27;   0
67  ;HD 1683    ;HD 1683                            ;PM*;00 20 53.7315382680 -39 14 23.541557388;     ~   ;7.63     ;7.13     ;     ~   ;     ~  ;F6V              ;  33;   0
68  ;HD 1686    ;HD 1686                            ;PM*;00 20 16.9004995872 -77 13 21.377824320;     ~   ;8.39     ;7.89     ;     ~   ;     ~  ;F6V              ;  32;   0
69  ;HD 1689    ;HD 1689                            ;PM*;00 21 13.1248458456 -03 18 42.568945272;     ~   ;7.83     ;7.36     ;     ~   ;     ~  ;F6V              ;  27;   0
70  ;HD 1764    ;HD 1764                            ;PM*;00 21 57.3322104600 +16 52 36.991879572;     ~   ;8.05     ;7.58     ;     ~   ;     ~  ;F5               ;  26;   0
71  ;HD 1778    ;HD 1778                            ;*  ;00 22 19.6212709488 +53 36 03.161249028;     ~   ;8.44     ;8.05     ;     ~   ;     ~  ;F5IIIpSr         ;  31;   0
72  ;HD 1828    ;HD 1828                            ;*  ;00 22 43.1826246504 -09 37 22.075683528;     ~   ;8.60     ;8.20     ;     ~   ;     ~  ;F3/5V            ;  26;   0
73  ;HD 1832    ;HD 1832                            ;PM*;00 23 00.2088715512 +22 22 30.001988280;     ~   ;8.26     ;     ~   ;7.1      ;     ~  ;F8               ;  71;   0
74  ;HD 1856    ;HD 1856                            ;PM*;00 22 48.0391075416 -39 15 44.701481124;     ~   ;7.10     ;6.75     ;     ~   ;     ~  ;F2IV             ;  32;   0
75  ;HD 1893    ;HD 1893                            ;*  ;00 22 34.7713904352 -73 01 56.485732152;     ~   ;9.35     ;8.58     ;     ~   ;     ~  ;G8V              ;  34;   0
76  ;HD 1898    ;HD 1898                            ;PM*;00 23 12.6475344720 -13 10 05.456379864;     ~   ;8.79     ;8.34     ;     ~   ;     ~  ;F3V              ;  26;   0
77  ;HD 1980    ;HD 1980                            ;PM*;00 23 59.5690639296 -17 48 37.306914264;     ~   ;7.91     ;7.42     ;     ~   ;     ~  ;F6V              ;  28;   0
78  ;HD 2021    ;HD 2021                            ;*  ;00 24 38.3659843032 +16 24 28.290094884;     ~   ;8.57     ;8.13     ;     ~   ;     ~  ;F5               ;  23;   0
79  ;HD 2121    ;HD 2121                            ;PM*;00 24 57.9634833912 -62 12 22.854211056;     ~   ;8.55     ;8.14     ;     ~   ;     ~  ;F3V              ;  25;   0
80  ;HD 2302    ;HD 2302                            ;PM*;00 27 04.5742057728 +25 02 31.441077420;     ~   ;7.130    ;6.646    ;     ~   ;     ~  ;F7IV             ;  36;   0
81  ;HD 2305    ;HD 2305                            ;*  ;00 26 53.1214630848 -00 55 46.868780604;     ~   ;9.00     ;8.60     ;     ~   ;     ~  ;F2V              ;  27;   0
82  ;HD 2330    ;HD 2330                            ;PM*;00 27 26.6936498712 +26 16 43.664266380;     ~   ;8.14     ;7.54     ;     ~   ;     ~  ;F8               ;  27;   0
83  ;HD 2361    ;HD 2361                            ;PM*;00 27 20.6219942976 -08 39 30.741839388;     ~   ;8.32     ;7.89     ;     ~   ;     ~  ;F3V              ;  26;   0
84  ;HD 2404    ;HD 2404                            ;PM*;00 27 43.5237937979 -32 23 14.888935188;     ~   ;9.991    ;9.556    ;9.487    ;     ~  ;G6V              ;  45;   0
85  ;HD 2550    ;HD 2550                            ;PM*;00 29 23.5417467984 +40 50 30.020125884;     ~   ;8.62     ;7.96     ;     ~   ;     ~  ;G5               ;  25;   0
86  ;HD 2564    ;HD 2564                            ;PM*;00 29 31.1436836400 +24 52 51.553162776;     ~   ;8.32     ;7.77     ;     ~   ;     ~  ;F8               ;  30;   0
87  ;HD 2567    ;HD 2567                            ;PM*;00 29 16.1106115680 -05 54 37.760587056;     ~   ;8.40     ;7.76     ;     ~   ;     ~  ;G1V              ;  58;   0
88  ;HD 2611    ;HD 2611                            ;PM*;00 29 51.6632107824 +38 19 26.921796924;     ~   ;7.97     ;7.45     ;     ~   ;     ~  ;F8               ;  22;   0
89  ;HD 2615    ;HD 2615                            ;PM*;00 29 34.8546244344 -32 34 08.396563872;     ~   ;8.03     ;8.918    ;     ~   ;     ~  ;F5V              ;  62;   0
90  ;HD 2663    ;HD 2663                            ;PM*;00 31 12.9112078131 +69 47 06.935378075;     ~   ;     ~   ;     ~   ;7.1      ;     ~  ;F8               ;  48;   0
91  ;HD 2694    ;HD 2694                            ;PM*;00 30 26.7465893136 -15 54 54.943631352;     ~   ;8.63     ;8.15     ;     ~   ;     ~  ;F5V              ;  30;   0
92  ;HD 2719    ;HD 2719                            ;PM*;00 30 38.1509537208 -18 37 15.427029180;     ~   ;8.01     ;7.55     ;     ~   ;     ~  ;F5V              ;  30;   0
93  ;HD 2730    ;HD 2730                            ;PM*;00 31 01.6060582968 +43 22 26.312620836;     ~   ;9.03     ;8.49     ;     ~   ;     ~  ;F7V              ;  29;   0
94  ;HD 2783    ;HD 2783                            ;*  ;00 31 12.0082747344 -21 21 04.451810256;     ~   ;8.79     ;8.39     ;     ~   ;     ~  ;F0V              ;  25;   0
95  ;HD 2827    ;HD 2827                            ;PM*;00 31 51.0936437280 +18 06 19.199189448;     ~   ;7.73     ;7.20     ;     ~   ;     ~  ;F5               ;  26;   0
96  ;HD 2882    ;HD 2882                            ;*  ;00 31 44.4267910392 -53 28 48.897824556;     ~   ;10.42    ;9.61     ;     ~   ;     ~  ;K0V              ;  25;   0
97  ;HD 2916    ;HD 2916                            ;PM*;00 32 22.1769049416 -24 38 46.433149008;     ~   ;7.700    ;7.303    ;     ~   ;     ~  ;F3III/IV         ;  25;   0
98  ;HD 3079    ;HD 3079                            ;PM*;00 34 29.7115042606 +47 54 55.953793110;     ~   ;7.93     ;7.38     ;7.1      ;     ~  ;F8               ;  84;   0
99  ;HD 3089    ;HD 3089                            ;*  ;00 34 08.3020338960 +05 57 28.381388508;     ~   ;8.06     ;7.64     ;     ~   ;     ~  ;F2               ;  22;   0
100 ;HD 3092    ;HD 3092                            ;PM*;00 33 52.9448018328 -39 14 44.162476764;     ~   ;8.68     ;8.24     ;     ~   ;     ~  ;F5V              ;  25;   0
101 ;HD 3141    ;HD 3141                            ;PM*;00 35 00.8671016496 +42 41 41.184464136;     ~   ;     ~   ;     ~   ;7.5      ;     ~  ;K0IV             ;  44;   0
102 ;HD 3149    ;HD 3149                            ;PM*;00 35 13.7760722640 +51 50 17.605657356;     ~   ;7.94     ;7.38     ;     ~   ;     ~  ;F8               ;  34;   0
103 ;HD 3161    ;HD 3161                            ;*  ;00 38 14.5805002176 +84 40 29.931379500;     ~   ;7.65     ;7.12     ;     ~   ;     ~  ;F8               ;  29;   0
104 ;HD 3229    ;* 14 Cet                           ;PM*;00 35 32.8334053776 -00 30 20.198722752;     ~   ;6.368    ;5.936    ;     ~   ;     ~  ;F5V              ; 134;   0
105 ;HD 3255    ;HD 3255                            ;PM*;00 35 50.1186146808 +16 34 10.108984224;     ~   ;7.74     ;7.31     ;     ~   ;     ~  ;F2               ;  24;   0
106 ;HD 3268    ;HD 3268                            ;PM*;00 35 54.8017196664 +13 12 25.451468496;     ~   ;6.93     ;     ~   ;6.0      ;     ~  ;F7V              ;  98;   0
107 ;HD 3294    ;HD 3294                            ;PM*;00 36 03.6668600760 +07 09 21.518042976;     ~   ;8.31     ;7.76     ;     ~   ;     ~  ;F5               ;  27;   0
108 ;HD 3296    ;HD 3296                            ;PM*;00 36 01.8539540328 -05 34 14.588932080;     ~   ;7.18     ;6.71     ;     ~   ;     ~  ;F6V              ;  46;   0
109 ;HD 3338    ;HD 3338                            ;*  ;00 36 12.0711002904 -26 45 37.498740660;     ~   ;8.82     ;8.48     ;     ~   ;     ~  ;F0V              ;  28;   0
110 ;HD 3349    ;HD 3349                            ;PM*;00 36 33.1776480360 +13 16 22.506038688;     ~   ;9.01     ;8.52     ;     ~   ;     ~  ;G0               ;  24;   0
111 ;HD 3398    ;HD 3398                            ;*  ;00 36 57.1020482880 +05 24 45.037095696;     ~   ;8.66     ;8.23     ;     ~   ;     ~  ;F3V              ;  24;   0
112 ;HD 3459    ;HD 3459                            ;PM*;00 37 18.9184099296 -35 25 12.763791660;     ~   ;8.91     ;8.26     ;     ~   ;     ~  ;G3V              ;  24;   0
113 ;HD 3506    ;HD 3506                            ;*  ;00 37 52.4663346600 -16 40 19.100691984;     ~   ;8.83     ;8.38     ;     ~   ;     ~  ;F3IV/V           ;  25;   0
114 ;HD 3532    ;HD 3532                            ;*  ;00 38 21.2327688144 +19 42 18.004517784;     ~   ;8.84     ;8.39     ;     ~   ;     ~  ;F5               ;  33;   0
115 ;HD 3560    ;HD 3560                            ;PM*;00 38 20.2269201936 -32 02 06.222912864;     ~   ;9.28     ;8.85     ;     ~   ;     ~  ;F7V              ;  31;   0
116 ;HD 3598    ;HD 3598                            ;PM*;00 38 27.3655030560 -45 54 04.710303000;     ~   ;7.89     ;7.40     ;     ~   ;     ~  ;F6V              ;  28;   0
117 ;HD 3611    ;HD 3611                            ;PM*;00 38 08.3587317264 -66 02 34.120104396;     ~   ;7.95     ;7.37     ;     ~   ;     ~  ;G0V              ;  35;   0
118 ;HD 3621    ;HD 3621                            ;*  ;00 38 50.3028772848 -18 52 05.058328152;     ~   ;8.85     ;8.29     ;     ~   ;     ~  ;F7V              ;  28;   0
119 ;HD 3674    ;HD 3674                            ;PM*;00 39 40.7048518056 +11 31 56.210157372;     ~   ;     ~   ;     ~   ;7.1      ;     ~  ;F8               ;  46;   0
120 ;HD 3685    ;HD 3685                            ;PM*;00 39 38.2933223856 -03 04 59.424992940;     ~   ;8.37     ;7.88     ;     ~   ;     ~  ;F7V              ;  23;   0
121 ;HD 3689    ;HD 3689                            ;PM*;00 38 17.7781956624 -73 57 45.931904748;     ~   ;7.87     ;7.44     ;     ~   ;     ~  ;F6V              ;  52;   0
122 ;HD 3708    ;HD 3708                            ;PM*;00 39 43.6080055968 -11 09 02.806831476;     ~   ;7.25     ;6.82     ;     ~   ;     ~  ;F5IV             ;  27;   0
123 ;HD 3726    ;HD 3726                            ;PM*;00 40 19.3766882088 +26 39 58.301412300;     ~   ;     ~   ;     ~   ;7.9      ;     ~  ;F6V              ;  31;   0
124 ;HD 3735    ;HD 3735                            ;PM*;00 39 57.8234302713 -33 57 41.218831187;     ~   ;7.18     ;6.69     ;     ~   ;     ~  ;F7V              ;  78;   0
125 ;HD 3737    ;HD 3737                            ;PM*;00 39 44.6943509040 -41 39 34.497942588;     ~   ;8.98     ;8.46     ;     ~   ;     ~  ;F6/7V            ;  29;   0
126 ;HD 3765    ;HD 3765                            ;PM*;00 40 49.2698857963 +40 11 13.823048636;     ~   ;8.30     ;     ~   ;6.8      ;     ~  ;K2V              ; 266;   0
127 ;HD 3770    ;HD 3770                            ;PM*;00 40 24.4124057160 -07 39 23.953152420;     ~   ;7.99     ;7.43     ;     ~   ;     ~  ;F8V              ;  44;   0
128 ;HD 3790    ;HD 3790                            ;PM*;00 40 52.7318220216 +31 06 59.764344120;     ~   ;8.03     ;7.59     ;     ~   ;     ~  ;F4V              ;  29;   0
129 ;HD 3808    ;HD 3808                            ;PM*;00 40 30.6085104360 -27 16 34.859330796;     ~   ;9.49     ;8.79     ;     ~   ;     ~  ;G5V              ;  51;   0
130 ;HD 3835    ;HD 3835                            ;PM*;00 40 47.9987809800 -27 22 31.080446220;     ~   ;8.89     ;8.38     ;     ~   ;     ~  ;F6/7V            ;  30;   0
131 ;HD 3861    ;HD 3861                            ;PM*;00 41 11.8740924504 +09 21 18.207286416;     ~   ;     ~   ;     ~   ;6.2      ;     ~  ;F8V              ;  64;   0
132 ;HD 3888    ;HD 3888                            ;PM*;00 40 51.5774211456 -53 12 35.698820616;     ~   ;7.88     ;7.37     ;     ~   ;     ~  ;F7V              ;  32;   0
133 ;HD 3894    ;HD 3894                            ;PM*;00 41 41.9936034168 +20 08 13.469405820;     ~   ;8.33     ;7.85     ;     ~   ;     ~  ;F8               ;  39;   0
134 ;HD 3914    ;HD 3914                            ;PM*;00 42 01.4270397336 +40 41 17.716533432;     ~   ;7.49     ;7.03     ;     ~   ;     ~  ;F5               ;  46;   0
135 ;HD 3964    ;HD 3964                            ;PM*;00 42 09.7770279504 -03 03 22.970696796;     ~   ;9.08     ;8.38     ;     ~   ;     ~  ;G5V              ;  57;   0
136 ;HD 4025    ;HD 4025                            ;PM*;00 42 18.3830579904 -45 33 04.185230040;     ~   ;8.65     ;8.14     ;     ~   ;     ~  ;F7V              ;  29;   0
137 ;HD 4113    ;HD 4113                            ;PM*;00 43 12.5955916128 -37 58 57.477720936;     ~   ;8.61     ;7.88     ;     ~   ;     ~  ;G5V              ;  98;   1
138 ;HD 4140    ;HD 4140                            ;PM*;00 43 21.1327980864 -47 59 22.037546904;     ~   ;8.71     ;8.21     ;     ~   ;     ~  ;F6V              ;  24;   0
139 ;HD 4208    ;HD 4208                            ;PM*;00 44 26.6506707202 -26 30 56.455527913;     ~   ;8.46     ;7.79     ;     ~   ;     ~  ;G7VFe-1CH-0.5    ; 201;   1
140 ;HD 4219    ;HD 4219                            ;PM*;00 44 27.6847029048 -13 24 56.939488020;     ~   ;8.06     ;7.58     ;     ~   ;     ~  ;F6V              ;  28;   0
141 ;HD 4295    ;HD 4295                            ;PM*;00 46 38.5057428888 +69 19 31.472585472;6.760    ;6.800    ;     ~   ;6.2      ;     ~  ;F3V              ;  41;   0
142 ;HD 4304    ;HD 4304                            ;PM*;00 44 59.9417881824 -53 42 53.614649304;     ~   ;6.68     ;6.15     ;     ~   ;     ~  ;F7V              ;  42;   0
143 ;HD 4309    ;HD 4309                            ;PM*;00 44 07.7753072472 -74 15 55.145525976;     ~   ;8.04     ;7.58     ;     ~   ;     ~  ;F6IV/V           ;  36;   0
144 ;HD 4322    ;HD 4322                            ;PM*;00 46 03.2364720912 +40 48 32.086646928;8.050    ;8.060    ;7.580    ;     ~   ;     ~  ;F7IV/V           ;  35;   0
145 ;HD 4406    ;HD 4406                            ;*  ;00 46 51.7422629688 +46 21 48.971646540;     ~   ;8.20     ;7.48     ;     ~   ;     ~  ;G5               ;  25;   0
146 ;HD 4557    ;HD 4557                            ;PM*;00 46 07.4556408840 -71 13 46.180921116;     ~   ;10.65    ;9.80     ;     ~   ;     ~  ;G8IV/V           ;  26;   0
147 ;HD 4568    ;* 61 Psc                           ;PM*;00 47 54.8276045136 +20 55 31.242238356;     ~   ;7.04     ;     ~   ;6.2      ;     ~  ;F8V              ;  52;   0
148 ;HD 4572    ;HD 4572                            ;*  ;00 47 34.8106976448 -25 23 41.844113376;     ~   ;9.44     ;8.89     ;     ~   ;     ~  ;G0V              ;  27;   0
149 ;HD 4607    ;HD 4607                            ;PM*;00 47 57.3650789280 -09 20 47.329551060;     ~   ;8.25     ;7.74     ;     ~   ;     ~  ;F7V              ;  51;   0
150 ;HD 4649    ;HD 4649                            ;PM*;00 48 33.2210443584 +00 22 55.401089448;     ~   ;8.81     ;8.15     ;     ~   ;     ~  ;G3V              ;  28;   0
151 ;HD 4702    ;HD 4702                            ;PM*;00 49 33.7228734384 +38 12 17.966916540;     ~   ;8.58     ;8.02     ;     ~   ;     ~  ;F8               ;  22;   0
152 ;HD 4747    ;HD 4747                            ;SB*;00 49 26.7604733944 -23 12 44.868742449;8.244    ;7.927    ;7.155    ;6.732    ;6.344   ;G8/K0V           ; 189;   0
153 ;HD 4756    ;HD 4756                            ;PM*;00 49 58.5304135728 +34 58 27.041077452;     ~   ;7.86     ;7.26     ;     ~   ;     ~  ;F5               ;  23;   0
154 ;HD 4766    ;HD 4766                            ;PM*;00 48 34.8543295944 -67 31 54.058394208;     ~   ;8.60     ;8.11     ;     ~   ;     ~  ;F6V              ;  29;   0
