 #  ;typed ident;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ; Mag I  ;   spec. type    ;#bib;#not
----;-----------;-----------------------------------;---;---------------------------------------;---------;---------;---------;---------;--------;-----------------;----;----
1   ;HD 23      ;HD 23                              ;PM*;00 05 07.4950976136 -52 09 06.260110200;     ~   ;8.11     ;7.52     ;     ~   ;     ~  ;G0V              ;  46;   0
2   ;HD 67      ;HD 67                              ;PM*;00 05 28.4520372600 -61 13 33.074149188;     ~   ;9.47     ;8.80     ;     ~   ;     ~  ;G5V              ;  49;   0
3   ;HD 101     ;HD 101                             ;PM*;00 05 54.7486323216 +18 14 06.026302140;8.050    ;8.010    ;     ~   ;7.1      ;     ~  ;F8               ;  58;   0
4   ;HD 105     ;HD 105                             ;PM*;00 05 52.5447817152 -41 45 11.044988352;     ~   ;8.13     ;7.53     ;     ~   ;     ~  ;G0V              ; 178;   0
5   ;HD 153     ;HD 153                             ;PM*;00 06 26.0245156200 +42 45 09.885919032;     ~   ;8.97     ;8.36     ;     ~   ;     ~  ;G1V              ;  38;   0
6   ;HD 189     ;HD 189                             ;PM*;00 06 39.5967605712 -24 37 15.027483072;     ~   ;9.08     ;8.54     ;     ~   ;     ~  ;F7V              ;  31;   0
7   ;HD 200     ;HD 200                             ;PM*;00 06 46.9724268864 -04 21 00.097981452;     ~   ;8.76     ;8.21     ;     ~   ;     ~  ;F7/8V            ;  30;   0
8   ;HD 268     ;HD 268                             ;PM*;00 07 22.5440090952 -25 21 23.946341400;     ~   ;7.51     ;7.06     ;     ~   ;     ~  ;F5V              ;  38;   0
9   ;HD 276     ;HD 276                             ;PM*;00 07 13.4889090912 -76 43 51.347822016;     ~   ;7.95     ;7.54     ;     ~   ;     ~  ;F2V              ;  35;   0
10  ;HD 285     ;HD 285                             ;PM*;00 07 28.1325191280 -56 00 41.340990708;     ~   ;7.92     ;7.48     ;     ~   ;     ~  ;F5IV/V           ;  28;   0
11  ;HD 291     ;HD 291                             ;PM*;00 07 40.4561979432 +39 02 05.191753704;8.450    ;8.450    ;8.020    ;     ~   ;     ~  ;F5               ;  28;   0
12  ;HD 307     ;HD 307                             ;PM*;00 07 37.4297441424 -45 07 10.329241404;     ~   ;8.78     ;8.22     ;     ~   ;     ~  ;F8/G0V           ;  28;   0
13  ;HD 330     ;HD 330                             ;PM*;00 08 04.6907785008 +53 47 46.501807236;     ~   ;8.74     ;8.17     ;     ~   ;     ~  ;F8V              ;  45;   0
14  ;HD 334     ;HD 334                             ;*  ;00 08 00.2354196816 -07 32 40.913011428;     ~   ;8.32     ;7.84     ;     ~   ;     ~  ;F5/6V            ;  28;   0
15  ;HD 373     ;HD 373                             ;PM*;00 08 30.1985047632 +52 20 11.263875828;     ~   ;8.11     ;7.77     ;     ~   ;     ~  ;F2V              ;  33;   0
16  ;HD 427     ;HD 427                             ;*  ;00 08 46.1872933728 -34 47 39.736700124;     ~   ;8.33     ;7.87     ;     ~   ;     ~  ;F3V              ;  27;   0
17  ;HD 439     ;HD 439                             ;PM*;00 08 48.4978778520 -47 03 38.833307820;     ~   ;8.27     ;7.81     ;     ~   ;     ~  ;F5IV             ;  25;   0
18  ;HD 447     ;HD 447                             ;*  ;00 09 04.3108775160 +19 55 28.885843020;     ~   ;7.56     ;7.10     ;     ~   ;     ~  ;F5               ;  28;   0
19  ;HD 457     ;HD 457                             ;PM*;00 08 59.6781304488 -39 44 13.772027652;     ~   ;8.36     ;7.73     ;     ~   ;     ~  ;G0V              ;  58;   0
20  ;HD 466     ;HD 466                             ;*  ;00 09 02.6822703624 -35 05 30.756063264;     ~   ;8.17     ;7.76     ;     ~   ;     ~  ;F3IV/V           ;  28;   0
21  ;HD 547     ;HD 547                             ;PM*;00 09 48.5594743128 -40 53 34.560712248;     ~   ;9.19     ;8.55     ;     ~   ;     ~  ;G3V              ;  29;   0
22  ;HD 564     ;HD 564                             ;PM*;00 09 52.8218497440 -50 16 04.168251444;     ~   ;8.90     ;8.29     ;     ~   ;     ~  ;G2/3V            ;  67;   0
23  ;HD 578     ;HD 578                             ;PM*;00 10 02.5788813960 -63 17 48.375266640;     ~   ;8.58     ;8.14     ;     ~   ;     ~  ;F3V              ;  27;   0
24  ;HD 604     ;HD 604                             ;PM*;00 10 26.3265621792 -14 27 08.405779248;     ~   ;8.84     ;8.35     ;     ~   ;     ~  ;F7V              ;  27;   0
25  ;HD 610     ;HD 610                             ;*  ;00 10 04.4585072184 -79 00 06.647569416;     ~   ;9.564    ;9.073    ;     ~   ;     ~  ;F5V              ;  30;   0
26  ;HD 615     ;HD 615                             ;PM*;00 10 29.5725739968 +15 13 54.379639560;     ~   ;8.71     ;8.24     ;     ~   ;     ~  ;F6V              ;  29;   0
27  ;HD 631     ;HD 631                             ;*  ;00 10 39.1283097672 +12 49 12.835789104;     ~   ;9.03     ;8.46     ;     ~   ;     ~  ;G5               ;  32;   0
28  ;HD 633     ;HD 633                             ;*  ;00 10 40.7234577384 +02 03 19.959111432;     ~   ;7.97     ;7.51     ;     ~   ;     ~  ;F(6)V            ;  27;   0
29  ;HD 700     ;HD 700                             ;*  ;00 11 24.4280959176 +23 49 05.610549900;     ~   ;8.78     ;8.22     ;     ~   ;     ~  ;G0V              ;  27;   0
30  ;HD 732     ;HD 732                             ;PM*;00 11 36.4215445992 -23 37 56.452664928;     ~   ;8.39     ;7.84     ;     ~   ;     ~  ;F7V              ;  27;   0
31  ;HD 741     ;HD 741                             ;PM*;00 11 33.0839416296 -58 54 35.427823236;     ~   ;8.98     ;8.36     ;     ~   ;     ~  ;G3V              ;  40;   0
32  ;HD 750     ;HD 750                             ;PM*;00 11 35.7941760624 -57 28 21.179180784;     ~   ;9.95     ;9.08     ;     ~   ;     ~  ;K1V              ;  51;   0
33  ;HD 804     ;HD 804                             ;PM*;00 12 28.3340865048 +20 14 03.653844972;     ~   ;     ~   ;     ~   ;7.8      ;     ~  ;G5               ;  51;   0
34  ;HD 823     ;HD 823                             ;PM*;00 12 32.8110620088 -30 51 35.420874660;     ~   ;9.41     ;8.67     ;     ~   ;     ~  ;G8/K0V           ;  30;   0
35  ;HD 852     ;HD 852                             ;PM*;00 13 00.0725264376 +12 19 51.434625036;     ~   ;8.56     ;8.18     ;     ~   ;     ~  ;F0               ;  25;   0
36  ;HD 870     ;HD 870                             ;PM*;00 12 50.2492819896 -57 54 45.394533396;8.344    ;8        ;7.226    ;6.803    ;6.416   ;K0V              ;  92;   0
