Name,RotP
HD 101,9.95989663414209
HD 189,
HD 200,3.419254225258724
HD 268,2.5202940690023934
HD 276,3.938551636151851
HD 285,6.12535256245051
HD 291,5.498730248537316
HD 307,2.308005620033163
HD 330,0.8692065538453605
HD 334,2.4768732437830425
HD 373,4.081714720196221
HD 427,3.394282193585367
HD 439,2.955056045996834
HD 447,3.6461235589800665
HD 466,0.41603056644729464
HD 578,4.233053713500504
HD 604,2.32968154450867
HD 610,4.524946383441675
HD 615,
HD 633,3.761529474437057
HD 732,5.196358564877475
HD 852,1.0456986578175491
HD 903,2.2327968152535256
HD 949,1.9581763011584568
HD 975,6.072590311057967
HD 1000,5.196372843987041
HD 1004,3.3942315312702336
HD 1047,4.057850178073063
HD 1101,3.896908681887375
HD 1184,11.247594638442768
HD 1343,4.380336282443047
HD 1418,
HD 1455,5.328320990659327
HD 1497,1.6656958603191172
HD 1513,1.4864047988176647
HD 1557,3.9868463632439046
HD 1603,2.8974963747863782
HD 1674,9.535591262721576
HD 1683,5.40112644544251
HD 1686,3.830332346608969
HD 1689,4.07404746466023
HD 1764,4.0576822685331075
HD 1778,2.2032366419028366
HD 1828,3.4944314445900924
HD 1832,10.47539916161008
HD 1856,0.7013767146461893
HD 1898,3.6191638849452685
HD 1980,5.959053455987134
HD 2021,1.3901673017064202
HD 2121,3.571137890756084
HD 2302,2.9129070427629378
HD 2305,2.9292737988546595
HD 2330,2.9872758757634346
HD 2361,3.8974290985192805
HD 2564,1.8821244702873299
HD 2611,4.132062599614639
HD 2615,2.5202964664779137
HD 2663,7.149463072358691
HD 2694,
HD 2719,4.824753884476414
HD 2730,3.7410742221950906
HD 2783,1.0798587400336943
HD 2827,3.1602985203037672
HD 2916,0.8745510997320352
HD 3079,0.3481328213919991
HD 3089,5.199839194111947
HD 3092,5.196325552628426
HD 3149,3.1923702465716937
HD 3161,9.882005915875446
HD 3255,2.6006427931041416
HD 3268,9.478922947313581
HD 3294,4.975248361258107
HD 3296,2.357094375396673
HD 3338,1.0016332004020407
HD 3398,3.3727646168880923
HD 3506,3.782998335163492
HD 3532,1.8895745724467004
HD 3560,4.665587254975455
HD 3598,2.5674944092176135
HD 3621,0.06897012149354174
HD 3674,3.951261881758295
HD 3685,2.9807853908425086
HD 3689,8.014360194194978
HD 3708,2.3570894502073485
HD 3726,2.2007189589942926
HD 3735,1.6436250226359794
HD 3737,0.0076636273023587345
HD 3770,5.628316466467364
HD 3790,2.4291596686579697
HD 3835,7.840537584801367
HD 3861,19.220527777805856
HD 3888,1.8676093908042284
HD 3894,1.9853737380474614
HD 3914,5.720518476745981
HD 4025,0.008154311385584808
HD 4140,3.480487919039398
HD 4219,5.628305278455326
HD 4295,3.455305574505659
HD 4304,3.088262794608945
HD 4309,4.909552433750312
HD 4322,1.3227896092990896
HD 4607,5.332314933155077
HD 4702,5.45008281090765
HD 4756,4.648907407340108
HD 4766,5.622645665361224
HD 4785,2.955064953734563
HD 4863,5.121027671768413
HD 4903,5.277977857737336
HD 4982,0.9474318609774813
HD 5028,1.4218585706021374
HD 5036,4.026918955161398
HD 5057,2.8152318042040023
HD 5080,5.8632980107156385
HD 5224,1.5028453414792353
HD 5278,0.4953910325657611
HD 5308,3.1603363628386836
HD 5311,2.720413484362605
HD 5376,4.824814782592063
HD 5379,1.2194080530316025
HD 5388,1.6051045769475711
HD 5435,1.2485349871274292
HD 5442,5.628348063380905
HD 5444,0.02203592004493425
HD 5453,4.222075911466899
HD 5510,5.196337862090354
HD 5591,5.959060914247177
HD 5600,2.929308732878505
HD 5651,8.917387452938065
HD 5703,4.245787075954967
HD 5728,1.7427215061700494
HD 5892,14.606478503338836
HD 5915,1.0246555831280288
HD 5982,2.801408678815327
HD 6060,2.1289006880430903
HD 6225,5.720583991904789
HD 6338,0.19403378722455067
HD 6374,4.395411562914489
HD 6444,2.0997669326099726
HD 6544,7.263447436194403
HD 6566,1.3957227085374437
HD 6583,1.0188533991647406
HD 6834,3.116046442094421
HD 6847,4.169873916084726
HD 7089,2.9373617586896996
HD 7193,3.9543140743199614
HD 7228,6.043747052882859
HD 7238,2.1888461044489733
HD 7257,2.895657538139885
HD 7284,7.149418402111619
HD 7334,4.426408867463811
HD 7442,1.40189980563699
HD 7449,5.33238209020516
HD 7458,8.322877135084635
HD 7463,6.562416914271382
HD 7616,3.2477080345550924
HD 7747,4.563216326744561
HD 7775,11.248126297678656
HD 8070,1.6089980811708526
HD 8083,5.62841805924766
HD 8117,1.8533262823210943
HD 8178,5.391519683351566
HD 8241,5.71464944892906
HD 8248,2.6595580702772295
HD 8316,5.489551814969773
HD 8408,6.092226957620739
HD 8483,8.439365487683082
HD 8523,79.73302684489929
HD 8574,10.701409890018672
HD 8581,3.4944605657093906
HD 8673,2.813213088534326
HD 8710,0.9675511057574524
HD 8745,4.792893854044295
HD 8774,1.9247002928650065
HD 8786,4.999866760614737
HD 8907,3.1030300033748746
HD 8941,3.4232999814907554
HD 8985,3.7531906931788255
HD 8995,4.979361521181354
HD 9061,2.357122476862295
HD 9091,9.479024698602535
HD 9305,4.999854080016849
HD 9386,2.622093471036176
HD 9389,2.501469400596709
HD 9403,4.05324149879904
HD 9449,1.9533443332597518
HD 9468,2.1287360308481325
HD 9666,3.3547329801675225
HD 9670,2.8153170693715146
HD 9769,2.73921063271009
HD 9782,5.332394001548998
HD 9895,2.252364603660923
HD 9934,1.1383883957649605
HD 10007,4.579704686106757
HD 10037,4.605673147959045
HD 10039,3.0710461099122224
HD 10183,0.7115332731730882
HD 10195,5.060997678273215
HD 10211,4.515554281904431
HD 10556,4.561274002601444
HD 10711,3.9401824586221195
HD 10766,3.178993365677962
HD 10844,7.131602061196868
HD 10874,4.051342302131624
HD 11042,2.008892957544151
HD 11107,2.815282828715166
HD 11114,8.027997557238976
HD 11119,1.0090860246208606
HD 11152,0.6864152576880234
HD 11166,6.376659666596817
HD 11274,1.369880981541914
HD 11348,3.5819142002674598
HD 11379,5.332356650378372
HD 11459,4.222073090657516
HD 11474,4.71954629814363
HD 11592,3.199050029131854
HD 11699,5.817362892049734
HD 11907,4.5393423125355925
HD 11963,3.4817865647666553
HD 12214,0.0037287947551897177
HD 12273,3.1862682952788535
HD 12277,1.6089785506103274
HD 12371,4.222105423812921
HD 12413,2.296807650542547
HD 12414,4.549611650335076
HD 12436,5.35763471997004
HD 12460,4.708157928400283
HD 12482,5.459702113158373
HD 12600,5.065903921563752
HD 12640,5.9015459771811525
HD 12680,5.714706573127999
HD 12681,2.270591801592393
HD 12741,7.787236857357726
HD 12745,5.066001317428365
HD 12951,2.5628066011593527
HD 12979,4.405496915074566
HD 13026,4.382302617631015
HD 13076,3.562986429189403
HD 13131,0.003083079139325534
HD 13133,4.824797520776789
HD 13201,6.544328389761149
HD 13239,1.2213694128824903
HD 13289,2.4075799252787067
HD 13364,2.1671796311839575
HD 13540,5.499166770149472
HD 13609,3.7069667796118413
HD 13722,1.0139795309509854
HD 13829,3.4319021199472446
HD 13847,9.205628030073294
HD 13908,5.459734861690708
HD 13914,3.9431139549744714
HD 14119,8.439327220830759
HD 14196,4.824798588485508
HD 14285,1.3698824258064335
HD 14294,8.439386053259426
HD 14338,8.379753725482988
HD 14348,5.123200544379314
HD 14379,6.835570151421984
HD 14414,9.6200594086232
HD 14448,3.434674364493466
HD 14516,1.4183211088205203
HD 14552,3.1224185033059575
HD 14642,6.3312005713754935
HD 14701,2.4132321306989786
HD 14705,2.6108702375715658
HD 14727,5.278004120258683
HD 14836,0.8739916358671429
HD 14907,1.903179625477029
HD 15029,6.550405814238337
HD 15047,4.8249076162883595
HD 15048,5.959208298869761
HD 15060,5.332297796599988
HD 15097,6.641232289389662
HD 15209,5.329875790473389
HD 15272,4.937241857099899
HD 15381,1.139709023237567
HD 15382,2.0479680464937338
HD 15394,2.4720828020289902
HD 15456,0.6299000153025627
HD 15481,2.2523930920795405
HD 15494,4.872301486665739
HD 15563,5.905806640722692
HD 15579,0.09423629151293497
HD 15773,9.205490834864912
HD 15784,4.415322115452504
HD 16067,7.267152938013471
HD 16086,11.360033952672945
HD 16095,0.016382257898672446
HD 16118,9.205667201839251
HD 16241,3.8974343147639927
HD 16377,2.1865851354983423
HD 16427,5.401045995200602
HD 16556,2.790832199998561
HD 16610,5.500170849402585
HD 16626,3.0673773983823818
HD 16707,2.7705909599318645
HD 16785,4.824918430912479
HD 16878,0.006189761457144028
HD 16933,5.099412535390115
HD 16941,4.829912846645638
HD 16963,9.055735694600886
HD 17030,100.0
HD 17055,4.070070536931792
HD 17070,1.3886212264771653
HD 17147,4.3724358912459245
HD 17207,4.8723237041054945
HD 17290,5.925735152325003
HD 17331,5.123226431644209
HD 17399,4.605688426911021
HD 17530,0.5448029333618184
HD 17548,3.3495660575383654
HD 17631,3.4448829483531593
HD 17639,1.4895631462627075
HD 17702,3.3780732258891706
HD 17865,0.15361707031295946
HD 17884,5.491722474080585
HD 17926,3.0969823834581107
HD 18031,4.065847942453055
HD 18139,5.078693958073601
HD 18180,2.4152353961940363
HD 18229,2.1970456081969427
HD 18456,3.339700051924932
HD 18508,1.4352956371696053
HD 18568,1.9321854421193898
HD 18579,2.465308886865583
HD 18617,100.0
HD 18618,3.621865528461305
HD 18743,11.334848851550527
HD 18754,4.3797205254443305
HD 18766,5.307719355732022
