vsini_esphs,distance_msc,spectraltype_esphs
80.025696,119.90352,B
64.65285,126.66972,B
92.28628,66.46481,O
86.16537,124.44925,B
226.4069,149.9156,B
97.103836,130.84012,O
71.41893,146.04659,B
198.72028,78.69371,O
145.33842,106.11255,O
54.383083,134.05945,B
51.890232,145.19986,B
115.78168,130.55646,A
0.64021516,148.61646,B
197.39731,62.12594,O
73.39881,110.2653,B
203.08101,128.7381,O
37.41925,125.08151,B
201.60289,132.57477,O
116.10841,50.321056,O
212.51683,127.2661,O
16.74621,111.84078,B
114.52499,130.22185,O
98.89136,128.73691,B
123.65305,100.265305,B
181.20418,136.03522,O
101.3939,133.62115,B
13.961131,122.346664,B
249.02263,143.11293,O
52.97018,110.76526,B
153.36092,147.74434,A
125.3948,107.18825,O
155.4283,127.409546,O
28.569803,124.23877,A
197.29572,90.4431,O
154.74947,72.47023,B
1.0514406,149.36023,O
144.55644,68.132706,A
9.806255,121.24776,A
83.62557,133.8623,A
178.68141,123.38103,A
94.0006,115.507614,B
66.082085,118.20264,B
207.88342,138.13458,O
94.71977,142.66595,B
147.46967,145.85413,B
95.54514,147.22305,O
87.72086,126.04497,B
1.491789,143.35275,B
60.088768,106.90007,A
65.2595,109.41943,B
188.29959,137.48676,O
360.2107,89.06334,B
113.13519,115.39781,O
0.44289887,145.53036,B
119.52231,142.81348,B
186.05478,138.51656,O
112.66996,140.83527,A
182.82916,110.61073,B
185.12012,146.59497,O
40.143707,122.431625,B
0.16746691,83.70712,O
117.1432,107.23622,O
151.96242,82.927086,O
71.14365,147.48337,B
64.30972,139.38841,B
34.62022,112.36549,B
205.49072,134.69778,B
97.109924,66.56983,B
81.81432,109.14073,O
82.98114,57.570843,O
184.4522,144.05223,O
228.1341,114.77107,A
73.67997,149.36642,A
2.02092,148.52736,B
0.5676649,138.79343,B
86.45341,101.66691,O
126.24961,137.85765,O
110.46208,139.43054,B
171.5784,131.94577,O
118.69086,144.21658,B
530.05396,138.93065,O
17.07846,125.180084,B
291.69412,128.13716,O
116.85875,144.4939,B
128.72137,141.3715,O
148.80998,104.62201,B
121.114944,140.27997,O
43.106113,133.86433,B
18.945507,103.5338,A
167.33618,131.41864,O
222.75569,121.53845,O
89.14603,116.40369,O
223.65657,149.63998,O
184.95078,133.45767,B
123.64248,114.49969,B
65.04942,124.57287,B
169.7458,95.22339,O
147.19762,113.5255,O
162.40628,112.10523,A
221.86818,134.76227,B
82.92336,143.8746,B
124.38127,131.59943,B
44.42076,135.8364,B
39.963657,138.08568,B
96.427536,145.51552,B
59.590786,140.10431,B
0.09158272,104.75784,O
44.50276,141.63232,B
16.36825,149.3941,B
39.9527,69.404785,A
19.545685,124.02761,B
154.87878,139.11932,B
104.6324,144.84851,B
14.429319,94.60042,B
12.170726,108.33629,B
89.15981,51.280243,O
93.21389,73.726944,B
72.819824,147.39026,O
121.39535,108.10892,O
30.953827,112.21657,B
164.95683,128.9066,B
83.7856,144.43327,A
194.59358,144.51938,O
230.1521,143.75937,B
1.9211768,89.76938,B
78.56112,79.830154,B
137.2945,73.93446,O
92.38544,80.91899,B
34.84035,146.91568,B
127.251015,97.372574,O
44.292007,132.76776,B
18.25385,149.79466,B
104.528145,141.06998,B
111.224365,138.12848,O
74.837906,112.35112,B
130.93329,107.445564,B
153.13972,142.22534,O
323.75467,90.86502,O
116.44984,143.98193,O
22.255854,109.434784,A
0.3763933,127.23047,B
222.25706,108.87247,B
196.58443,143.30936,B
147.47832,113.68525,O
150.85596,117.6305,O
83.794174,116.99979,B
4.498071,147.69812,B
149.05211,113.26128,B
113.11147,144.07703,A
170.37932,135.21596,O
62.98641,131.31207,B
44.23918,145.59077,B
114.648415,109.483,O
107.16365,110.230865,B
58.139114,129.65059,B
106.97763,115.28475,B
7.2860923,142.67873,B
74.682755,142.78473,O
2.4378996,131.54324,O
4.1959233,76.79104,O
63.253864,98.76929,B
347.76364,134.90747,B
39.753536,98.60959,A
90.42411,146.28014,B
58.287395,118.279305,B
108.88289,146.30582,O
108.67918,136.69212,A
144.70708,143.82169,B
249.64041,130.57362,B
71.055534,88.973595,B
121.17324,135.53531,O
94.25384,138.62845,A
67.235825,149.37155,B
192.0456,148.27359,A
100.73509,144.82109,B
75.57341,138.08969,O
84.62571,141.00958,B
139.81783,105.98967,B
77.8492,104.69403,A
63.611507,141.77847,B
103.91371,81.10168,B
46.889366,101.459854,B
98.77448,131.27101,B
81.77589,138.30084,B
219.67375,130.2412,A
10.44518,118.74562,B
77.139565,141.73685,A
1.1935422,139.24168,A
66.47537,132.12259,B
168.17569,140.25314,O
68.93271,139.54593,B
51.23372,120.216156,O
122.93949,143.10464,A
94.93544,140.16524,B
41.878983,43.003895,B
38.84389,96.346695,B
55.95834,143.34059,B
96.70761,108.54649,O
1.6762736,79.953476,O
100.72562,110.50188,O
97.61102,67.09891,B
105.57851,117.99009,O
149.01514,141.04105,O
64.74204,114.39221,O
120.32461,108.71222,O
134.54446,102.23662,B
115.61618,114.51964,B
107.76783,143.57715,B
211.64879,124.18762,O
37.37497,124.95996,B
199.92279,83.4285,O
202.97987,140.89417,O
33.458157,131.93974,B
150.37378,72.72284,O
82.37891,57.838684,O
74.92898,128.6003,B
6.870014,129.6645,O
98.902435,104.96681,B
136.65617,95.39203,O
141.16684,129.5363,O
182.39124,136.48123,O
85.078094,89.998474,B
61.689976,102.958015,B
91.37269,136.80042,B
90.876595,146.03348,O
136.88707,137.11658,B
91.04962,94.41896,A
8.579495,143.02148,B
82.89927,130.29636,B
189.58688,74.25537,B
4.1002192,139.61258,B
35.987793,147.48016,B
31.345352,132.49358,B
32.167694,98.65852,A
114.40377,146.59674,B
128.93059,136.84624,A
151.1042,147.54956,B
368.95355,75.8603,O
167.23587,104.52963,B
77.71063,105.91577,O
64.98369,143.94626,B
215.55388,145.3378,O
227.50777,140.23917,O
95.52393,115.053,B
209.71408,149.97523,O
64.67315,113.305305,B
47.96027,121.42714,B
44.778824,146.66441,B
23.087364,149.49469,B
232.41121,142.02084,O
12.269155,136.21457,B
2.9131079,75.14223,O
16.537117,87.86203,O
64.57813,100.13841,B
0.62074286,127.86163,O
82.13622,98.73376,O
129.93896,69.57768,O
190.88438,115.10989,O
6.102495,123.918816,B
139.42125,149.21881,B
205.78403,102.32039,O
130.61237,113.237465,O
111.758385,98.76895,O
7.836511,138.39151,A
84.50365,124.71485,B
183.67377,144.57153,O
133.47636,99.30492,O
100.64556,130.01416,B
347.90384,142.6108,O
463.037,133.69872,B
42.441166,137.35689,A
141.82507,139.03076,B
142.14148,143.32877,O
175.85316,130.08255,O
153.01828,147.09297,B
4.453565,131.04971,B
3.331154,107.54319,B
0.23198886,120.663895,B
161.12193,145.48044,B
54.50771,107.65428,O
136.52463,125.28229,B
93.45099,125.05937,B
236.70941,110.903435,O
1.619799,148.23195,B
36.995834,111.64604,B
4.6371036,122.08382,B
84.861,137.94066,B
213.1565,133.87657,O
95.895744,133.19798,B
39.35874,114.59149,B
203.23543,134.57764,O
68.718895,125.1302,B
123.65968,146.55487,A
53.53232,125.13292,O
68.44719,87.85482,B
27.70223,136.86137,B
42.12241,141.96948,B
32.27614,145.49509,A
57.04298,122.560875,B
115.24928,134.6549,B
113.73138,114.81021,O
37.69018,118.0238,O
93.3872,121.6103,B
169.84798,87.313126,O
4.2279816,91.705475,O
88.15307,145.38754,B
361.6695,144.17819,B
4.4428973,123.87971,O
196.18109,134.13582,B
7.678448,98.152985,O
160.4673,113.27989,O
8.805692,130.53177,O
67.90989,146.73564,B
79.731674,93.352585,B
159.67932,108.497314,A
145.17996,105.917755,B
0.9416938,126.27907,B
48.04228,123.8977,B
7.2338314,143.30075,B
275.2296,109.80141,B
71.74256,142.686,O
82.442665,125.26726,B
145.1457,92.41245,O
86.44904,95.75457,B
63.33573,68.36087,O
31.7938,149.79015,B
62.572277,127.09654,B
90.99532,140.10858,B
0.58712894,123.07036,O
139.29236,120.53525,B
89.072365,122.93659,B
134.24904,84.53235,B
200.80356,34.323975,O
0.8293938,142.43533,B
128.22849,131.67682,A
186.2414,134.6009,A
163.93234,111.627594,O
114.84876,140.57321,B
112.694565,103.62301,B
80.34023,114.037476,O
243.01111,123.93025,B
78.8652,104.036606,O
87.38043,145.69177,B
49.95944,113.73207,B
84.400276,113.52182,B
10.829118,123.51803,B
260.0508,146.20209,O
73.917274,148.34357,A
198.2957,145.88304,A
140.55292,119.308624,A
