 #  |typed ident|            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |   spec. type    |#bib|#not
1   |HD 23      |HD 23                              |PM*|00 05 07.4950976136 -52 09 06.260110200|     ~   |8.11     |7.52     |     ~   |     ~   |G0V              |  48|   0
20  |HD 373     |HD 373                             |PM*|00 08 30.1985047632 +52 20 11.263875828|     ~   |8.11     |7.77     |     ~   |     ~   |F2V              |  35|   0
21  |HD 375     |HD 375                             |** |00 08 28.4623015512 +34 56 04.342708356|     ~   |7.99     |7.39     |     ~   |     ~   |F8               |  50|   0
22  |HD 377     |HD 377                             |PM*|00 08 25.7454555168 +06 37 00.489407808|     ~   |8.22     |7.59     |     ~   |6.90     |G2V              | 152|   0
23  |HD 382     |HD 382                             |PM*|00 08 25.4514877080 -21 24 31.297083876|     ~   |9.26     |8.41     |     ~   |     ~   |G8/K0V           |  13|   0
24  |HD 400     |HD 400                             |PM*|00 08 40.9385785968 +36 37 37.652234016|     ~   |     ~   |     ~   |5.9      |     ~   |F8IV             | 170|   0
25  |HD 410     |HD 410                             |PM*|00 08 35.1472820328 -66 25 01.965207900|     ~   |10.10    |9.40     |     ~   |     ~   |G6/8             |  17|   0
26  |HD 427     |HD 427                             |*  |00 08 46.1872933728 -34 47 39.736700124|     ~   |8.33     |7.87     |     ~   |     ~   |F3V              |  28|   0
27  |HD 435     |HD 435                             |PM*|00 08 56.5878789216 +12 48 15.781799664|     ~   |8.99     |8.44     |     ~   |     ~   |G0               |  21|   0
28  |HD 439     |HD 439                             |PM*|00 08 48.4978778520 -47 03 38.833307820|     ~   |8.27     |7.81     |     ~   |     ~   |F5IV             |  26|   0
29  |HD 447     |HD 447                             |*  |00 09 04.3108775160 +19 55 28.885843020|     ~   |7.56     |7.10     |     ~   |     ~   |F5               |  29|   0
30  |HD 457     |HD 457                             |PM*|00 08 59.6781304488 -39 44 13.772027652|     ~   |8.36     |7.73     |     ~   |     ~   |G0V              |  64|   0
31  |HD 466     |HD 466                             |*  |00 09 02.6822703624 -35 05 30.756063264|     ~   |8.17     |7.76     |     ~   |     ~   |F3IV/V           |  29|   0
32  |HD 547     |HD 547                             |PM*|00 09 48.5594743128 -40 53 34.560712248|     ~   |9.19     |8.55     |     ~   |     ~   |G3V              |  30|   0
33  |HD 564     |HD 564                             |PM*|00 09 52.8218497440 -50 16 04.168251444|     ~   |8.90     |8.29     |     ~   |     ~   |G2/3V            |  72|   0
34  |HD 578     |HD 578                             |PM*|00 10 02.5788813960 -63 17 48.375266640|     ~   |8.58     |8.14     |     ~   |     ~   |F3V              |  28|   0
35  |HD 604     |HD 604                             |PM*|00 10 26.3265621792 -14 27 08.405779248|     ~   |8.84     |8.35     |     ~   |     ~   |F7V              |  28|   0
36  |HD 610     |HD 610                             |*  |00 10 04.4585072184 -79 00 06.647569416|     ~   |9.564    |9.073    |     ~   |     ~   |F5V              |  31|   0
37  |HD 615     |HD 615                             |PM*|00 10 29.5725739968 +15 13 54.379639560|     ~   |8.71     |8.24     |     ~   |     ~   |F6V              |  30|   0
38  |HD 631     |HD 631                             |*  |00 10 39.1283097672 +12 49 12.835789104|     ~   |9.03     |8.46     |     ~   |     ~   |G5               |  34|   0
39  |HD 633     |HD 633                             |*  |00 10 40.7234577384 +02 03 19.959111432|     ~   |7.97     |7.51     |     ~   |     ~   |F(6)V            |  29|   0
40  |HD 693     |* 6 Cet                            |PM*|00 11 15.8580395472 -15 28 04.720468404|5.35     |5.38     |4.89     |     ~   |     ~   |F8VFe-0.8CH-0.5  | 319|   0
41  |HD 700     |HD 700                             |*  |00 11 24.4280959176 +23 49 05.610549900|     ~   |8.78     |8.22     |     ~   |     ~   |G0V              |  29|   0
42  |HD 732     |HD 732                             |PM*|00 11 36.4215445992 -23 37 56.452664928|     ~   |8.39     |7.84     |     ~   |     ~   |F7V              |  29|   0
43  |HD 739     |* tet Scl                          |PM*|00 11 44.0210769384 -35 07 59.212953084|     ~   |5.661    |5.239    |     ~   |     ~   |F5V              | 151|   0
44  |HD 741     |HD 741                             |PM*|00 11 33.0839416296 -58 54 35.427823236|     ~   |8.98     |8.36     |     ~   |     ~   |G3V              |  43|   0
45  |HD 750     |HD 750                             |PM*|00 11 35.7941760624 -57 28 21.179180784|     ~   |9.95     |9.08     |     ~   |     ~   |K1V              |  54|   0
46  |HD 804     |HD 804                             |PM*|00 12 28.3340865048 +20 14 03.653844972|     ~   |     ~   |     ~   |7.8      |     ~   |G5               |  54|   0
47  |HD 823     |HD 823                             |PM*|00 12 32.8110620088 -30 51 35.420874660|     ~   |9.41     |8.67     |     ~   |     ~   |G8/K0V           |  33|   0
48  |HD 852     |HD 852                             |PM*|00 13 00.0725264376 +12 19 51.434625036|     ~   |8.56     |8.18     |     ~   |     ~   |F0               |  26|   0
49  |HD 870     |HD 870                             |PM*|00 12 50.2492819896 -57 54 45.394533396|8.344    |8        |7.226    |6.803    |6.416    |K0V              |  97|   0
50  |HD 903     |HD 903                             |PM*|00 13 10.0390376304 -43 03 54.621910260|     ~   |8.00     |7.56     |     ~   |     ~   |F5IV             |  28|   0
51  |HD 905     |* 23 And                           |PM*|00 13 30.8399867400 +41 02 07.335805740|     ~   |6.03     |     ~   |5.5      |     ~   |F0IV             |  75|   0
52  |HD 912     |HD 912                             |PM*|00 13 46.5322655952 +64 51 53.515470888|     ~   |8.61     |8.09     |     ~   |     ~   |G0               |  40|   0
53  |HD 924     |HD 924                             |PM*|00 13 30.9214459440 -40 21 29.753519328|     ~   |9.93     |9.02     |     ~   |     ~   |K2+Vk:           |  32|   0
54  |HD 949     |HD 949                             |PM*|00 14 02.8861749000 +44 30 43.551405144|     ~   |8.77     |8.37     |     ~   |     ~   |F4V              |  29|   0
55  |HD 967     |HD 967                             |PM*|00 14 04.4784097816 -11 18 41.705104914|     ~   |8.99     |8.38     |     ~   |     ~   |G6wF7            |  93|   0
56  |HD 975     |HD 975                             |*  |00 14 13.0756704912 +35 25 05.047812156|     ~   |8.53     |8.08     |     ~   |     ~   |F5V              |  31|   0
57  |HD 984     |HD 984                             |** |00 14 10.2528328224 -07 11 56.812684848|     ~   |7.82     |7.32     |     ~   |     ~   |F7V              | 107|   0
58  |HD 1000    |HD 1000                            |PM*|00 14 20.7993015264 -21 11 49.066585440|     ~   |7.38     |6.91     |     ~   |     ~   |F7V              |  38|   0
59  |HD 1004    |HD 1004                            |*  |00 14 14.7077379576 -55 04 10.779050028|     ~   |9.045    |8.788    |     ~   |     ~   |F5IV/V           |  36|   0
60  |HD 1015    |HD 1015                            |SB*|00 14 28.0215766680 -14 25 54.432045732|     ~   |7.43     |6.94     |     ~   |     ~   |F5V              |  34|   0
61  |HD 1047    |HD 1047                            |*  |00 14 49.9844809368 +23 47 36.364811028|     ~   |9.15     |8.64     |     ~   |     ~   |F8               |  22|   0
62  |HD 1080    |HD 1080                            |PM*|00 15 19.7014402296 +46 53 57.625505700|     ~   |8.90     |8.37     |     ~   |     ~   |G5               |  12|   0
63  |HD 1101    |HD 1101                            |*  |00 15 16.3979794344 -16 45 22.504153212|     ~   |8.08     |7.67     |     ~   |     ~   |F3IV             |  27|   0
64  |HD 1108    |HD 1108                            |PM*|00 15 04.6344628896 -68 31 48.358841916|     ~   |9.28     |8.58     |     ~   |     ~   |G6V              |  38|   0
65  |HD 1184    |HD 1184                            |PM*|00 15 47.0172136824 -66 55 26.619545172|     ~   |9.08     |8.52     |     ~   |     ~   |F7V              |  27|   0
66  |HD 1204    |HD 1204                            |PM*|00 16 22.2440099496 -19 23 58.593273720|     ~   |9.39     |8.77     |     ~   |     ~   |G3V              |  27|   0
67  |HD 1237    |HD 1237                            |PM*|00 16 12.6780107483 -79 51 04.244506480|7.692    |7.335    |6.578    |     ~   |     ~   |G8V              | 243|   1
68  |HD 1271    |HD 1271                            |SB*|00 16 47.2615709208 -46 34 26.828228604|     ~   |8.46     |8.01     |     ~   |     ~   |F5V              |  28|   0
69  |HD 1320    |HD 1320                            |PM*|00 17 16.5269419376 -43 51 09.835811318|     ~   |8.63     |7.98     |     ~   |     ~   |G2V              |  93|   0
70  |HD 1343    |HD 1343                            |*  |00 17 32.7030499488 -19 03 03.937463784|     ~   |6.828    |6.446    |     ~   |     ~   |F3V              |  52|   0
71  |HD 1352    |* 39 Psc                           |PM*|00 17 49.9818930936 +16 19 51.650777064|     ~   |7.68     |     ~   |6.9      |     ~   |F6V              |  56|   0
72  |HD 1388    |HD 1388                            |PM*|00 17 58.8685975874 -13 27 20.307118533|     ~   |7.09     |6.50     |     ~   |     ~   |G0V              | 131|   0
73  |HD 1391    |HD 1391                            |Er*|00 17 34.5124581144 -69 52 42.347409780|     ~   |8.82     |8.26     |     ~   |     ~   |G0IV             |  29|   0
74  |HD 1405    |V* PW And                          |RS*|00 18 20.8895755560 +30 57 22.129174872|     ~   |9.78     |8.86     |8.3      |7.78     |K2V              | 128|   1
75  |HD 1418    |HD 1418                            |PM*|00 18 24.9834971880 +22 52 48.260958996|     ~   |8.44     |7.94     |     ~   |     ~   |F5               |  22|   0
76  |HD 1455    |HD 1455                            |*  |00 17 49.2329343912 -79 13 56.603010360|     ~   |9.589    |8.988    |     ~   |     ~   |F8V              |  31|   0
77  |HD 1461    |HD 1461                            |PM*|00 18 41.8676757921 -08 03 10.803829898|     ~   |7.14     |6.46     |     ~   |     ~   |G3VFe0.5         | 390|   1
78  |HD 1466    |HD 1466                            |Er*|00 18 26.1235857360 -63 28 38.980983432|     ~   |8.00     |7.46     |     ~   |     ~   |F8V              | 126|   0
79  |HD 1497    |HD 1497                            |PM*|00 19 12.7899624768 +13 34 37.208711568|     ~   |8.85     |8.18     |     ~   |     ~   |F8               |  42|   0
80  |HD 1513    |HD 1513                            |*  |00 19 16.6338284640 +00 31 14.068031844|     ~   |8.29     |7.90     |     ~   |     ~   |F0/2V            |  26|   0
81  |HD 1557    |HD 1557                            |PM*|00 19 41.6429006352 -30 39 30.784771692|     ~   |9.587    |9.353    |     ~   |     ~   |F3/5IV/V         |  29|   0
82  |HD 1581    |* zet Tuc                          |PM*|00 20 04.2586334956 -64 52 29.257190108|4.82     |4.80     |4.23     |3.73     |3.40     |F9.5V            | 394|   0
83  |HD 1582    |HD 1582                            |*  |00 19 36.4882552272 -69 06 10.327452804|     ~   |9.34     |8.77     |     ~   |     ~   |G1V              |  26|   0
84  |HD 1591    |HD 1591                            |PM*|00 19 48.9421519776 -60 54 43.823657052|     ~   |8.49     |7.94     |     ~   |     ~   |G0IV/V           |  26|   0
85  |HD 1603    |HD 1603                            |*  |00 20 28.4121276888 +40 55 19.690063788|     ~   |8.64     |8.14     |     ~   |     ~   |F8               |  27|   0
86  |HD 1622    |HD 1622                            |*  |00 20 11.0967435528 -55 59 38.387530644|     ~   |10.594   |9.86     |9.41     |     ~   |K1V              |  33|   0
87  |HD 1666    |HD 1666                            |PM*|00 20 52.3395586896 -19 55 52.410421452|     ~   |8.69     |8.16     |     ~   |     ~   |F7V              |  49|   0
88  |HD 1671    |* rho And                          |PM*|00 21 07.2687391968 +37 58 06.979645056|     ~   |5.60     |5.18     |     ~   |     ~   |F5IV-V           | 135|   0
89  |HD 1674    |HD 1674                            |PM*|00 20 53.9777444112 -29 41 23.390411208|     ~   |8.89     |8.36     |     ~   |     ~   |F7V              |  28|   0
90  |HD 1683    |HD 1683                            |PM*|00 20 53.7315382680 -39 14 23.541557388|     ~   |7.63     |7.13     |     ~   |     ~   |F6V              |  34|   0
91  |HD 1686    |HD 1686                            |PM*|00 20 16.9004995872 -77 13 21.377824320|     ~   |8.39     |7.89     |     ~   |     ~   |F6V              |  35|   0
92  |HD 1689    |HD 1689                            |PM*|00 21 13.1248458456 -03 18 42.568945272|     ~   |7.83     |7.36     |     ~   |     ~   |F6V              |  28|   0
93  |HD 1736    |HD 1736                            |*  |00 21 35.4548024112 -16 12 27.181455840|     ~   |9.07     |8.61     |     ~   |     ~   |F5V              |  28|   0
94  |HD 1764    |HD 1764                            |PM*|00 21 57.3322104600 +16 52 36.991879572|     ~   |8.05     |7.58     |     ~   |     ~   |F5               |  28|   0
95  |HD 1765    |HD 1765                            |PM*|00 21 51.0226918368 -22 38 34.742772132|     ~   |8.96     |8.43     |     ~   |     ~   |F7V              |  25|   0
96  |HD 1778    |HD 1778                            |*  |00 22 19.6212709488 +53 36 03.161249028|     ~   |8.44     |8.05     |     ~   |     ~   |F5IIIpSr         |  34|   0
97  |HD 1828    |HD 1828                            |*  |00 22 43.1826246504 -09 37 22.075683528|     ~   |8.60     |8.20     |     ~   |     ~   |F3/5V            |  28|   0
98  |HD 1832    |HD 1832                            |PM*|00 23 00.2088715512 +22 22 30.001988280|     ~   |8.26     |     ~   |7.1      |     ~   |F8               |  76|   0
99  |HD 1856    |HD 1856                            |PM*|00 22 48.0391075416 -39 15 44.701481124|     ~   |7.10     |6.75     |     ~   |     ~   |F2IV             |  33|   0
100 |HD 1893    |HD 1893                            |*  |00 22 34.7713904352 -73 01 56.485732152|     ~   |9.35     |8.58     |     ~   |     ~   |G8V              |  36|   0
101 |HD 1898    |HD 1898                            |PM*|00 23 12.6475344720 -13 10 05.456379864|     ~   |8.79     |8.34     |     ~   |     ~   |F3V              |  27|   0
102 |HD 1980    |HD 1980                            |PM*|00 23 59.5690639296 -17 48 37.306914264|     ~   |7.91     |7.42     |     ~   |     ~   |F6V              |  31|   0
103 |HD 2021    |HD 2021                            |*  |00 24 38.3659843032 +16 24 28.290094884|     ~   |8.57     |8.13     |     ~   |     ~   |F5               |  24|   0
104 |HD 2025    |HD 2025                            |PM*|00 24 25.9332783964 -27 01 36.380637008|9.56     |8.861    |7.916    |7.365    |6.894    |K3V              | 122|   0
105 |HD 2039    |HD 2039                            |PM*|00 24 20.2778342016 -56 39 00.179564220|     ~   |9.65     |8.99     |     ~   |     ~   |G2/3IV/V         | 116|   1
106 |HD 2121    |HD 2121                            |PM*|00 24 57.9634833912 -62 12 22.854211056|     ~   |8.55     |8.14     |     ~   |     ~   |F3V              |  26|   0
107 |HD 2151    |* bet Hyi                          |PM*|00 25 45.07036 -77 15 15.2860          |3.52     |3.41     |2.79     |2.28     |1.94     |G0V              | 606|   0
108 |HD 2163    |HD 2163                            |*  |00 25 32.0098528728 -24 58 21.038236104|     ~   |9.26     |8.63     |     ~   |     ~   |G1/2V            |  14|   0
109 |HD 2286    |HD 2286                            |PM*|00 26 36.8890167960 -14 01 48.046592352|     ~   |8.99     |8.55     |     ~   |     ~   |F3V              |  26|   0
110 |HD 2302    |HD 2302                            |PM*|00 27 04.5742057728 +25 02 31.441077420|     ~   |7.130    |6.646    |     ~   |     ~   |F7IV             |  39|   0
111 |HD 2305    |HD 2305                            |*  |00 26 53.1214630848 -00 55 46.868780604|     ~   |9.00     |8.60     |     ~   |     ~   |F2V              |  29|   0
112 |HD 2327    |HD 2327                            |*  |00 26 58.6006576896 -23 17 32.005717980|     ~   |9.52     |9.08     |     ~   |     ~   |F3/5V            |  15|   0
113 |HD 2330    |HD 2330                            |PM*|00 27 26.6936498712 +26 16 43.664266380|     ~   |8.14     |7.54     |     ~   |     ~   |F8               |  30|   0
114 |HD 2348    |HD 2348                            |PM*|00 27 14.6483583336 -31 02 13.984878372|     ~   |9.17     |8.68     |     ~   |     ~   |F6V              |  27|   0
115 |HD 2361    |HD 2361                            |PM*|00 27 20.6219942976 -08 39 30.741839388|     ~   |8.32     |7.89     |     ~   |     ~   |F3V              |  27|   0
116 |HD 2404    |HD 2404                            |PM*|00 27 43.5237937979 -32 23 14.888935188|     ~   |9.991    |9.556    |9.487    |     ~   |G6V              |  50|   0
117 |HD 2454    |HD 2454                            |SB*|00 28 20.0424818616 +10 11 23.297664120|     ~   |6.47     |     ~   |5.8      |     ~   |F5VSr            | 183|   0
118 |HD 2550    |HD 2550                            |PM*|00 29 23.5417467984 +40 50 30.020125884|     ~   |8.62     |7.96     |     ~   |     ~   |G5               |  27|   0
119 |HD 2564    |HD 2564                            |PM*|00 29 31.1436836400 +24 52 51.553162776|     ~   |8.32     |7.77     |     ~   |     ~   |F8               |  32|   0
120 |HD 2567    |HD 2567                            |PM*|00 29 16.1106115680 -05 54 37.760587056|     ~   |8.40     |7.76     |     ~   |     ~   |G1V              |  63|   0
121 |HD 2611    |HD 2611                            |PM*|00 29 51.6632107824 +38 19 26.921796924|     ~   |7.97     |7.45     |     ~   |     ~   |F8               |  23|   0
122 |HD 2615    |HD 2615                            |PM*|00 29 34.8546244344 -32 34 08.396563872|     ~   |8.03     |8.918    |     ~   |     ~   |F5V              |  65|   0
123 |HD 2663    |HD 2663                            |PM*|00 31 12.9112078131 +69 47 06.935378075|     ~   |     ~   |     ~   |7.1      |     ~   |F8               |  51|   0
124 |HD 2691    |HD 2691                            |*  |00 30 31.1268134784 -00 22 23.652294600|     ~   |9.75     |9.11     |     ~   |     ~   |G5V              |  15|   0
125 |HD 2694    |HD 2694                            |PM*|00 30 26.7465893136 -15 54 54.943631352|     ~   |8.63     |8.15     |     ~   |     ~   |F5V              |  32|   0
126 |HD 2719    |HD 2719                            |PM*|00 30 38.1509537208 -18 37 15.427029180|     ~   |8.01     |7.55     |     ~   |     ~   |F5V              |  32|   0
127 |HD 2726    |HD 2726                            |Er*|00 30 26.0632693104 -48 12 53.355477672|     ~   |6.005    |5.664    |     ~   |     ~   |F2V              |  69|   0
128 |HD 2730    |HD 2730                            |PM*|00 31 01.6060582968 +43 22 26.312620836|     ~   |9.03     |8.49     |     ~   |     ~   |F7V              |  31|   0
129 |HD 2783    |HD 2783                            |*  |00 31 12.0082747344 -21 21 04.451810256|     ~   |8.79     |8.39     |     ~   |     ~   |F0V              |  26|   0
130 |HD 2808    |HD 2808                            |PM*|00 31 31.6124255304 -04 16 56.121044340|     ~   |8.61     |8.08     |     ~   |     ~   |F7V              |  25|   0
131 |HD 2827    |HD 2827                            |PM*|00 31 51.0936437280 +18 06 19.199189448|     ~   |7.73     |7.20     |     ~   |     ~   |F5               |  28|   0
132 |HD 2882    |HD 2882                            |*  |00 31 44.4267910392 -53 28 48.897824556|     ~   |10.42    |9.61     |     ~   |     ~   |K0V              |  27|   0
133 |HD 2916    |HD 2916                            |PM*|00 32 22.1769049416 -24 38 46.433149008|     ~   |7.700    |7.303    |     ~   |     ~   |F3III/IV         |  28|   0
134 |HD 2990    |HD 2990                            |*  |00 32 17.9703925992 -70 45 46.164993660|     ~   |11.080   |10.546   |     ~   |     ~   |G0               |  17|   0
135 |HD 2994    |HD 2994                            |PM*|00 33 18.4545006552 +13 50 26.600951076|     ~   |8.29     |7.82     |     ~   |     ~   |F5               |  23|   0
136 |BD +61 119 |BD+61 119                          |PM*|00 34 38.3081633376 +62 37 19.629250104|     ~   |9.53     |8.98     |     ~   |     ~   |G1V              |  24|   0
137 |HD 3079    |HD 3079                            |PM*|00 34 29.7115042606 +47 54 55.953793110|     ~   |7.93     |7.38     |7.1      |     ~   |F8               |  89|   0
138 |HD 3089    |HD 3089                            |*  |00 34 08.3020338960 +05 57 28.381388508|     ~   |8.06     |7.64     |     ~   |     ~   |F2               |  23|   0
139 |HD 3092    |HD 3092                            |PM*|00 33 52.9448018328 -39 14 44.162476764|     ~   |8.68     |8.24     |     ~   |     ~   |F5V              |  26|   0
140 |HD 3141    |HD 3141                            |PM*|00 35 00.8671016496 +42 41 41.184464136|     ~   |     ~   |     ~   |7.5      |     ~   |K0IV             |  47|   0
141 |HD 3149    |HD 3149                            |PM*|00 35 13.7760722640 +51 50 17.605657356|     ~   |7.94     |7.38     |     ~   |     ~   |F8               |  38|   0
142 |HD 3158    |HD 3158                            |PM*|00 34 27.8315994480 -52 22 23.129463108|     ~   |6.04     |5.57     |     ~   |     ~   |F6V              | 103|   0
143 |HD 3161    |HD 3161                            |*  |00 38 14.5805002176 +84 40 29.931379500|     ~   |7.65     |7.12     |     ~   |     ~   |F8               |  32|   0
144 |HD 3177    |HD 3177                            |*  |00 35 07.6031976288 +07 43 23.775487608|     ~   |8.86     |8.37     |     ~   |     ~   |F8               |  25|   0
145 |HD 3181    |HD 3181                            |** |00 34 05.913960 -70 55 15.17700        |     ~   |11.173   |10.576   |10.595   |     ~   |G5               |  14|   0
146 |HD 3222    |HD 3222                            |PM*|00 35 02.8190100339 -63 41 42.640422617|     ~   |9.45     |8.62     |     ~   |     ~   |K2V              |  65|   0
147 |HD 3229    |* 14 Cet                           |PM*|00 35 32.8334053776 -00 30 20.198722752|     ~   |6.368    |5.936    |     ~   |     ~   |F5V              | 139|   0
148 |HD 3248    |HD 3248                            |PM*|00 36 32.4462189504 +69 16 46.653891924|     ~   |8.79     |8.34     |     ~   |     ~   |G0               |  12|   0
149 |HD 3255    |HD 3255                            |PM*|00 35 50.1186146808 +16 34 10.108984224|     ~   |7.74     |7.31     |     ~   |     ~   |F2               |  26|   0
150 |HD 3268    |HD 3268                            |PM*|00 35 54.8017196664 +13 12 25.451468496|     ~   |6.93     |     ~   |6.0      |     ~   |F7V              | 102|   0
151 |HD 3294    |HD 3294                            |PM*|00 36 03.6668600760 +07 09 21.518042976|     ~   |8.31     |7.76     |     ~   |     ~   |F5               |  29|   0
152 |HD 3296    |HD 3296                            |PM*|00 36 01.8539540328 -05 34 14.588932080|     ~   |7.18     |6.71     |     ~   |     ~   |F6V              |  48|   0
153 |HD 3302    |* lam02 Phe                        |PM*|00 35 41.1754684944 -48 00 03.264963408|     ~   |5.948    |5.510    |     ~   |     ~   |F5V+             |  74|   0
154 |HD 3338    |HD 3338                            |*  |00 36 12.0711002904 -26 45 37.498740660|     ~   |8.82     |8.48     |     ~   |     ~   |F0V              |  30|   0
155 |HD 3349    |HD 3349                            |PM*|00 36 33.1776480360 +13 16 22.506038688|     ~   |9.01     |8.52     |     ~   |     ~   |G0               |  25|   0
156 |HD 3398    |HD 3398                            |*  |00 36 57.1020482880 +05 24 45.037095696|     ~   |8.66     |8.23     |     ~   |     ~   |F3V              |  25|   0
157 |HD 3440    |HD 3440                            |PM*|00 39 47.2501746408 +82 29 37.546148904|     ~   |6.935    |6.389    |     ~   |     ~   |F9V              |  63|   0
158 |HD 3459    |HD 3459                            |PM*|00 37 18.9184099296 -35 25 12.763791660|     ~   |8.91     |8.26     |     ~   |     ~   |G3V              |  25|   0
159 |HD 3506    |HD 3506                            |*  |00 37 52.4663346600 -16 40 19.100691984|     ~   |8.83     |8.38     |     ~   |     ~   |F3IV/V           |  26|   0
160 |HD 3532    |HD 3532                            |*  |00 38 21.2327688144 +19 42 18.004517784|     ~   |8.84     |8.39     |     ~   |     ~   |F5               |  35|   0
161 |HD 3555    |HD 3555                            |PM*|00 38 57.7321643088 +54 42 44.943242148|     ~   |9.07     |8.48     |     ~   |     ~   |G5               |  14|   0
162 |HD 3560    |HD 3560                            |PM*|00 38 20.2269201936 -32 02 06.222912864|     ~   |9.28     |8.85     |     ~   |     ~   |F7V              |  34|   0
163 |HD 3598    |HD 3598                            |PM*|00 38 27.3655030560 -45 54 04.710303000|     ~   |7.89     |7.40     |     ~   |     ~   |F6V              |  29|   0
164 |HD 3611    |HD 3611                            |PM*|00 38 08.3587317264 -66 02 34.120104396|     ~   |7.95     |7.37     |     ~   |     ~   |G0V              |  36|   0
165 |HD 3621    |HD 3621                            |*  |00 38 50.3028772848 -18 52 05.058328152|     ~   |8.85     |8.29     |     ~   |     ~   |F7V              |  29|   0
166 |HD 3670    |HD 3670                            |PM*|00 38 56.7030427128 -52 32 03.387011784|     ~   |8.68     |8.21     |     ~   |     ~   |F5V              |  28|   0
167 |HD 3674    |HD 3674                            |PM*|00 39 40.7048518056 +11 31 56.210157372|     ~   |     ~   |     ~   |7.1      |     ~   |F8               |  49|   0
168 |HD 3675    |HD 3675                            |PM*|00 39 35.1609812928 -00 09 45.412454556|     ~   |10.90    |10.09    |     ~   |     ~   |G8(V)            |  14|   0
169 |HD 3685    |HD 3685                            |PM*|00 39 38.2933223856 -03 04 59.424992940|     ~   |8.37     |7.88     |     ~   |     ~   |F7V              |  25|   0
170 |HD 3689    |HD 3689                            |PM*|00 38 17.7781956624 -73 57 45.931904748|     ~   |7.87     |7.44     |     ~   |     ~   |F6V              |  55|   0
171 |HD 3708    |HD 3708                            |PM*|00 39 43.6080055968 -11 09 02.806831476|     ~   |7.25     |6.82     |     ~   |     ~   |F5IV             |  29|   0
172 |HD 3726    |HD 3726                            |Em*|00 40 19.3766882088 +26 39 58.301412300|     ~   |     ~   |     ~   |7.9      |     ~   |F6               |  34|   0
