 #  |typed ident|            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |   spec. type    |#bib|#not
1   |HD 23      |HD 23                              |PM*|00 05 07.4950976136 -52 09 06.260110200|     ~   |8.11     |7.52     |     ~   |     ~   |G0V              |  48|   0
2   |HD 59      |HD 59                              |PM*|00 05 33.5495719752 +46 39 46.245391668|     ~   |     ~   |     ~   |8.2      |     ~   |G5               |  13|   0
3   |HD 67      |HD 67                              |PM*|00 05 28.4520372600 -61 13 33.074149188|     ~   |9.47     |8.80     |     ~   |     ~   |G5V              |  53|   0
4   |HD 70      |HD 70                              |PM*|00 05 41.6710005864 +58 18 47.732582556|     ~   |     ~   |     ~   |7.8      |     ~   |G0               |  42|   0
5   |HD 101     |HD 101                             |PM*|00 05 54.7486323216 +18 14 06.026302140|8.050    |8.010    |     ~   |7.1      |     ~   |F8               |  62|   0
6   |HD 105     |HD 105                             |PM*|00 05 52.5447817152 -41 45 11.044988352|     ~   |8.13     |7.53     |     ~   |     ~   |G0V              | 188|   0
7   |HD 153     |HD 153                             |PM*|00 06 26.0245156200 +42 45 09.885919032|     ~   |8.97     |8.36     |     ~   |     ~   |G1V              |  41|   0
8   |HD 189     |HD 189                             |PM*|00 06 39.5967605712 -24 37 15.027483072|     ~   |9.08     |8.54     |     ~   |     ~   |F7V              |  32|   0
9   |HD 200     |HD 200                             |PM*|00 06 46.9724268864 -04 21 00.097981452|     ~   |8.76     |8.21     |     ~   |     ~   |F7/8V            |  31|   0
10  |HD 268     |HD 268                             |PM*|00 07 22.5440090952 -25 21 23.946341400|     ~   |7.51     |7.06     |     ~   |     ~   |F5V              |  41|   0
11  |HD 276     |HD 276                             |PM*|00 07 13.4889090912 -76 43 51.347822016|     ~   |7.95     |7.54     |     ~   |     ~   |F2V              |  37|   0
12  |HD 285     |HD 285                             |PM*|00 07 28.1325191280 -56 00 41.340990708|     ~   |7.92     |7.48     |     ~   |     ~   |F5IV/V           |  29|   0
13  |HD 291     |HD 291                             |PM*|00 07 40.4561979432 +39 02 05.191753704|8.450    |8.450    |8.020    |     ~   |     ~   |F5               |  30|   0
14  |HD 299     |HD 299                             |PM*|00 07 52.0855308264 +55 34 37.353634536|     ~   |     ~   |     ~   |7.4      |     ~   |G0               |  37|   0
15  |HD 307     |HD 307                             |PM*|00 07 37.4297441424 -45 07 10.329241404|     ~   |8.78     |8.22     |     ~   |     ~   |F8/G0V           |  29|   0
16  |HD 308     |HD 308                             |PM*|00 07 37.8500516472 -51 57 17.447857560|     ~   |10.08    |9.37     |     ~   |     ~   |G8(IV)+F/G       |  15|   0
17  |HD 330     |HD 330                             |PM*|00 08 04.6907785008 +53 47 46.501807236|     ~   |8.74     |8.17     |     ~   |     ~   |F8V              |  49|   0
18  |HD 334     |HD 334                             |*  |00 08 00.2354196816 -07 32 40.913011428|     ~   |8.32     |7.84     |     ~   |     ~   |F5/6V            |  29|   0
19  |HD 361     |HD 361                             |*  |00 08 16.3616321400 -14 49 28.168322232|     ~   |7.65     |7.03     |     ~   |     ~   |G1V              |  81|   0
